parents,has_nurs,form,children,housing,finance,social,health,class
usual,proper,complete,1,convenient,convenient,nonprob,recommended,recommend
usual,proper,complete,1,convenient,convenient,nonprob,priority,recommend
usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recommend
usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,recommend
usual,proper,complete,1,convenient,convenient,slightly_prob,priority,recommend
usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recommend
usual,proper,complete,1,convenient,convenient,problematic,recommended,recommend
usual,proper,complete,1,convenient,convenient,problematic,priority,recommend
usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recommend
usual,proper,complete,1,convenient,inconv,nonprob,recommended,recommend
usual,proper,complete,1,convenient,inconv,nonprob,priority,recommend
usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recommend
usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,recommend
usual,proper,complete,1,convenient,inconv,slightly_prob,priority,recommend
usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recommend
usual,proper,complete,1,convenient,inconv,problematic,recommended,recommend
usual,proper,complete,1,convenient,inconv,problematic,priority,recommend
usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recommend
usual,proper,complete,1,less_conv,convenient,nonprob,recommended,recommend
usual,proper,complete,1,less_conv,convenient,nonprob,priority,recommend
usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,not_recommend
usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,recommend
usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,recommend
usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recommend
usual,proper,complete,1,less_conv,convenient,problematic,recommended,recommend
usual,proper,complete,1,less_conv,convenient,problematic,priority,recommend
usual,proper,complete,1,less_conv,convenient,problematic,not_recom,not_recommend
usual,proper,complete,1,less_conv,inconv,nonprob,recommended,recommend
usual,proper,complete,1,less_conv,inconv,nonprob,priority,recommend
usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,not_recommend
usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,recommend
usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,recommend
usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recommend
usual,proper,complete,1,less_conv,inconv,problematic,recommended,recommend
usual,proper,complete,1,less_conv,inconv,problematic,priority,recommend
usual,proper,complete,1,less_conv,inconv,problematic,not_recom,not_recommend
usual,proper,complete,1,critical,convenient,nonprob,recommended,recommend
usual,proper,complete,1,critical,convenient,nonprob,priority,recommend
usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recommend
usual,proper,complete,1,critical,convenient,slightly_prob,recommended,recommend
usual,proper,complete,1,critical,convenient,slightly_prob,priority,recommend
usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recommend
usual,proper,complete,1,critical,convenient,problematic,recommended,recommend
usual,proper,complete,1,critical,convenient,problematic,priority,recommend
usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recommend
usual,proper,complete,1,critical,inconv,nonprob,recommended,recommend
usual,proper,complete,1,critical,inconv,nonprob,priority,recommend
usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recommend
usual,proper,complete,1,critical,inconv,slightly_prob,recommended,recommend
usual,proper,complete,1,critical,inconv,slightly_prob,priority,recommend
usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recommend
usual,proper,complete,1,critical,inconv,problematic,recommended,recommend
usual,proper,complete,1,critical,inconv,problematic,priority,recommend
usual,proper,complete,1,critical,inconv,problematic,not_recom,not_recommend
usual,proper,complete,2,convenient,convenient,nonprob,recommended,recommend
usual,proper,complete,2,convenient,convenient,nonprob,priority,recommend
usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recommend
usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,recommend
usual,proper,complete,2,convenient,convenient,slightly_prob,priority,recommend
