Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,-0.014274691358024616,-0.01898954703832756,-0.01898954703832756,-0.013391048416350748,0.016799449920654304
BaggingClassifier,0.0,0.0,0.0,0.0,0.018028736114501995
AdaBoostClassifier,0.0,0.0,0.0,0.0,0.002147197723388672
KNeighborsClassifier,-0.20100308641975312,-0.16492650887100002,-0.16492650887100002,-0.24457472837073285,0.02752685546875
DecisionTreeClassifier,0.0,0.0,0.0,0.0,0.0142896175384521
GaussianNB,-0.33680555555555564,-0.25348432055749126,-0.25348432055749126,-0.5038812352313293,-0.00018668174743649915
ExtraTreesClassifier,0.0,0.0,0.0,0.0,0.3816063404083252
LabelPropagation,-0.07484567901234573,-0.09869838599863834,-0.09869838599863823,-0.07018729723584671,0.8658845424652104
RandomForestClassifier,0.0,0.0,0.0,0.0,0.07530355453491216
NuSVC,0.0,0.0,0.0,0.0,38.203240633010864
LabelSpreading,-0.07484567901234573,-0.09869838599863834,-0.09869838599863823,-0.07018729723584671,1.3014628887176514
SVC,-0.33680555555555564,-0.25348432055749126,-0.25348432055749126,-0.5038812352313293,9.15581750869751
XGBClassifier,0.0,0.0,0.0,0.0,0.18159341812133792
QuadraticDiscriminantAnalysis,-0.33680555555555564,-0.25348432055749126,-0.25348432055749126,-0.5038812352313293,-0.011900663375854503
LGBMClassifier,0.0,0.0,0.0,0.0,0.27307295799255377
LinearDiscriminantAnalysis,0.0,0.0,0.0,0.0,-0.005960464477539101
CalibratedClassifierCV,0.0,0.0,0.0,0.0,0.031115770339965793
DummyClassifier,0.0,0.0,0.0,0.0,0.007389545440673901
LinearSVC,0.0,0.0,0.0,0.0,-0.010143518447876
SGDClassifier,0.0,0.0,0.0,0.0,-0.039260149002075195
RidgeClassifier,0.0,0.0,0.0,0.0,-0.0013701915740967005
RidgeClassifierCV,0.0,0.0,0.0,0.0,-0.008187770843505797
LogisticRegression,0.0,0.0,0.0,0.0,-0.008402824401855403
PassiveAggressiveClassifier,0.0690586419753087,-0.004611718530978415,-0.004611718530978415,0.1980013299234232,0.00041556358337399915
Perceptron,0.1489197530864198,0.01113380591933999,0.01113380591933999,0.3112817746636132,0.0018892288208007951
NearestCentroid,0.022376543209876476,-0.013016140013616895,-0.013016140013616895,0.01632387905782462,-0.007125139236450199
BernoulliNB,-0.0007716049382716084,0.1103167928231007,0.1103167928231007,-0.15954345761008287,0.0015997886657715017
