Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.0,0.0,0.0,0.0,0.09002542495727539
BaggingClassifier,0.0,0.0,0.0,0.0,0.004123449325561499
CalibratedClassifierCV,0.0,0.0,0.0,0.0,0.001955032348632802
ExtraTreesClassifier,0.0,0.0,0.0,0.0,0.02005147933959961
DecisionTreeClassifier,0.0,0.0,0.0,0.0,0.0004980564117432005
PassiveAggressiveClassifier,-0.29166666666666663,-0.29166666666666674,-0.29166666666666663,-0.2921739130434782,0.0004453659057618003
Perceptron,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08391608391608396,0.003352880477905301
NuSVC,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0010519027709961007
LogisticRegression,0.0,0.0,0.0,0.0,0.00021004676818849911
LinearSVC,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0007998943328857006
LinearDiscriminantAnalysis,0.0,0.0,0.0,0.0,-0.0007386207580566996
LGBMClassifier,0.0,0.0,0.0,0.0,0.008755207061767606
XGBClassifier,0.0,0.0,0.0,0.0,0.029374837875366204
RidgeClassifierCV,0.0,0.0,0.0,0.0,0.0009057521820067995
SGDClassifier,0.0,0.0,0.0,0.0,0.0009944438934325998
RidgeClassifier,0.0,0.0,0.0,0.0,-0.0009639263153075998
RandomForestClassifier,0.0,0.0,0.0,0.0,0.0051441192626953125
KNeighborsClassifier,0.0,0.0,0.0,0.0,0.001629352569580099
BernoulliNB,-0.04166666666666674,-0.0416666666666663,-0.0416666666666663,-0.04217695348130135,-0.0001969337463378993
SVC,0.04166666666666663,0.04166666666666685,0.04166666666666685,0.04173913043478261,0.002534389495849599
LabelSpreading,0.0,0.0,0.0,0.0,-0.00011634826660160066
LabelPropagation,0.0,0.0,0.0,0.0,-0.0010178089141845998
GaussianNB,0.0,0.0,0.0,0.0,0.0008127689361571988
NearestCentroid,0.0,0.0,0.0,0.0,-0.0002493858337403003
ExtraTreeClassifier,0.04166666666666674,0.04166666666666652,0.04166666666666674,0.04159420289855076,0.004812479019165001
QuadraticDiscriminantAnalysis,0.41666666666666674,0.4166666666666665,0.4166666666666665,0.5384806497849977,0.0002782344818115009
DummyClassifier,0.0,0.0,0.0,0.0,0.0015497207641601996
