Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,1.0,1.0,0.0137593746185302
BaggingClassifier,1.0,1.0,1.0,1.0,0.0276679992675781
CalibratedClassifierCV,1.0,1.0,1.0,1.0,0.0286059379577636
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.0914301872253418
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.0106017589569091
PassiveAggressiveClassifier,1.0,1.0,1.0,1.0,0.0110318660736083
Perceptron,1.0,1.0,1.0,1.0,0.0109155178070068
NuSVC,1.0,1.0,1.0,1.0,0.0112354755401611
LogisticRegression,1.0,1.0,1.0,1.0,0.0121443271636962
LinearSVC,1.0,1.0,1.0,1.0,0.0108828544616699
LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0,0.0119228363037109
LGBMClassifier,1.0,1.0,1.0,1.0,0.0944461822509765
XGBClassifier,1.0,1.0,1.0,1.0,0.0605068206787109
RidgeClassifierCV,1.0,1.0,1.0,1.0,0.011937141418457
SGDClassifier,1.0,1.0,1.0,1.0,0.0109775066375732
RidgeClassifier,1.0,1.0,1.0,1.0,0.0125930309295654
RandomForestClassifier,1.0,1.0,1.0,1.0,0.1219325065612793
KNeighborsClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0144875049591064
BernoulliNB,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0116803646087646
SVC,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0117151737213134
LabelSpreading,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0116968154907226
LabelPropagation,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0132153034210205
GaussianNB,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0126533508300781
NearestCentroid,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0114181041717529
ExtraTreeClassifier,0.9166666666666666,0.9166666666666666,0.9166666666666664,0.9166666666666666,0.0114493370056152
QuadraticDiscriminantAnalysis,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.4197802197802198,0.0107126235961914
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.0100688934326171
LabelSpreading,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.0132753849029541
LabelPropagation,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.0115444660186767
RandomForestClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.1357443332672119
ExtraTreesClassifier,0.6774193548387096,0.6700336700336701,,0.6742842999752495,0.1111087799072265
BaggingClassifier,0.6774193548387096,0.6700336700336701,,0.6675521821631879,0.0437009334564209
DecisionTreeClassifier,0.6774193548387096,0.6700336700336701,,0.6742842999752495,0.0120525360107421
ExtraTreeClassifier,0.6774193548387096,0.6565656565656566,,0.6576076938489281,0.0111896991729736
NearestCentroid,0.6129032258064516,0.6094276094276094,,0.6141935483870967,0.0124130249023437
GaussianNB,0.6129032258064516,0.6094276094276094,,0.6141935483870967,0.0115187168121337
CalibratedClassifierCV,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0423438549041748
LGBMClassifier,0.5806451612903226,0.5791245791245792,,0.567268305171531,0.1487214565277099
RidgeClassifierCV,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0115435123443603
RidgeClassifier,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0111446380615234
LinearDiscriminantAnalysis,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0106182098388671
LinearSVC,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.010944128036499
LogisticRegression,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0129201412200927
NuSVC,0.5806451612903226,0.579124579124579,,0.5478110599078341,0.0116598606109619
BernoulliNB,0.5806451612903226,0.5723905723905723,,0.5781286315367662,0.0181372165679931
KNeighborsClassifier,0.5483870967741935,0.5488215488215488,,0.5236961181233626,0.0130221843719482
SGDClassifier,0.5483870967741935,0.5420875420875421,,0.5460829493087557,0.0122075080871582
SVC,0.5161290322580645,0.5185185185185185,,0.4979321753515301,0.0122597217559814
AdaBoostClassifier,0.5161290322580645,0.5185185185185185,,0.4797323823856572,0.0976972579956054
Perceptron,0.4838709677419355,0.494949494949495,,0.4782977781058536,0.0117402076721191
QuadraticDiscriminantAnalysis,0.4838709677419355,0.4882154882154882,,0.4288468668891361,0.0106089115142822
PassiveAggressiveClassifier,0.3870967741935484,0.3703703703703704,,0.342161856253537,0.0118062496185302
DummyClassifier,0.2903225806451613,0.3333333333333333,,0.1306451612903225,0.0108199119567871
