Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6730136005726557,0.7650379509265115,0.7650379509265115,0.7519535981182206,0.1706900596618652
Perceptron,0.8774516821760916,0.7290684554701139,0.729068455470114,0.8932177595257894,0.2381713390350341
BernoulliNB,0.839513242662849,0.7251704273450699,0.7251704273450698,0.8681248316799853,0.1718668937683105
GaussianNB,0.8687902648532569,0.7110784841507025,0.7110784841507025,0.8865153708261099,0.1435401439666748
QuadraticDiscriminantAnalysis,0.8986399427344309,0.6609988397482106,0.6609988397482105,0.9024164013898288,0.2733635902404785
BaggingClassifier,0.936435218324982,0.6432258010991665,0.6432258010991665,0.926063526997595,3.9507012367248535
DecisionTreeClassifier,0.8938439513242663,0.6336050983479318,0.6336050983479317,0.8969521132257914,0.6839566230773926
LinearDiscriminantAnalysis,0.9373657838224768,0.6299437449953387,0.6299437449953388,0.9250621618140322,0.3259322643280029
XGBClassifier,0.939799570508232,0.6271198562221882,0.6271198562221881,0.9264113624341624,0.5592710971832275
LGBMClassifier,0.939799570508232,0.6211470637579253,0.6211470637579253,0.925582821389828,0.8233842849731445
PassiveAggressiveClassifier,0.9051539012168932,0.6181040146063901,0.6181040146063901,0.9024823220090484,0.1951029300689697
CalibratedClassifierCV,0.939226914817466,0.6098118708261202,0.6098118708261202,0.9235204726455062,2.1196823120117188
RandomForestClassifier,0.9398711524695776,0.604186139907438,0.604186139907438,0.9230867680497702,7.207753419876099
AdaBoostClassifier,0.9374373657838224,0.6005777906421514,0.6005777906421514,0.920869300366882,2.8810365200042725
ExtraTreeClassifier,0.8975662133142448,0.5997735880479317,0.5997735880479318,0.8958287229035843,0.1719028949737548
LogisticRegression,0.938940586972083,0.5986309274701287,0.5986309274701288,0.9215597504347678,0.3720703125
SVC,0.9398711524695776,0.5968350107206528,0.5968350107206528,0.9218852229738256,72.16969799995422
KNeighborsClassifier,0.928775948460988,0.5917767308062214,0.5917767308062214,0.9138784865033572,0.835439920425415
LabelSpreading,0.8991410164638511,0.5900547125089032,0.5900547125089032,0.8956593781158858,191.54671454429624
LabelPropagation,0.8986399427344309,0.5897847757512292,0.5897847757512292,0.8953306373821797,150.54148650169373
SGDClassifier,0.9380816034359342,0.5857631482399878,0.5857631482399879,0.918793951517022,0.3976714611053467
LinearSVC,0.9363636363636364,0.5701353924115354,0.5701353924115354,0.9147968452405256,0.5719330310821533
ExtraTreesClassifier,0.9362204724409448,0.5654638118818878,0.5654638118818879,0.9137780825082752,6.658247232437134
RidgeClassifierCV,0.933428775948461,0.5409875998090009,0.5409875998090009,0.906862107165728,0.3401720523834228
RidgeClassifier,0.933428775948461,0.5409875998090009,0.5409875998090009,0.906862107165728,0.1585397720336914
DummyClassifier,0.928131710808876,0.5,0.5,0.8935369588912895,0.0999946594238281
NearestCentroid,0.4770561069077331,0.4203716403336897,,0.4753676798180837,0.2447085380554199
LGBMClassifier,0.583914709639383,0.4107437566718166,,0.5337841529105521,1.9409608840942385
XGBClassifier,0.5817529723887197,0.4100991595474175,,0.5324238848763054,1.8392574787139893
RandomForestClassifier,0.5778716714159379,0.3990914625076462,,0.522786701414384,18.72881865501404
BaggingClassifier,0.548983000884347,0.396925685490942,,0.5126567196944419,9.806949377059937
ExtraTreesClassifier,0.5745799351478825,0.3966965767220367,,0.5190141814837315,16.94036555290222
AdaBoostClassifier,0.5766434116144247,0.3927906948155212,,0.5095955646848573,4.748038768768311
SVC,0.5757590645573352,0.3894400554977222,,0.5063587839661081,1955.7036390304563
BernoulliNB,0.5659821165372899,0.388538552413401,,0.5096447339376737,0.2675416469573974
GaussianNB,0.5329664930726147,0.38736358929535,,0.4328950719458465,0.2544119358062744
QuadraticDiscriminantAnalysis,0.4869804461039599,0.3840078995860539,,0.4265399805758496,0.4577860832214355
DecisionTreeClassifier,0.4690969833939274,0.3792331922257426,,0.4709474788333532,1.652393102645874
LogisticRegression,0.5672595067308637,0.3782251625694473,,0.4864888055951522,0.4742512702941894
LinearDiscriminantAnalysis,0.560872555762995,0.375719284957682,,0.4724987785612646,0.4719879627227783
KNeighborsClassifier,0.5268743244571091,0.3742622807950957,,0.4890974312602766,1.340345859527588
PassiveAggressiveClassifier,0.4924830500147391,0.374031742820325,,0.4586556824193779,0.759258508682251
CalibratedClassifierCV,0.5636729881104451,0.3709247430335758,,0.4746862566256486,6.716257333755493
LabelPropagation,0.4678195932003537,0.3702852476598324,,0.4658213363606484,333.5700566768646
LabelSpreading,0.4678687235924142,0.3701182385592607,,0.465753044609707,416.0820732116699
LinearSVC,0.5632799449739609,0.3692997821825258,,0.4720588897217138,1.4991793632507324
RidgeClassifierCV,0.5622973371327503,0.3677070430067631,,0.4686706311612048,0.5711846351623535
RidgeClassifier,0.5622973371327503,0.3677070430067631,,0.4686706311612048,0.2620017528533935
SGDClassifier,0.5560577773410632,0.358445968611389,,0.4482351869264753,2.326237201690674
Perceptron,0.5105630342930136,0.357351016835725,,0.4438789242781104,0.8241703510284424
ExtraTreeClassifier,0.4491009138252923,0.3559175291900212,,0.4503454181054597,0.3757965564727783
DummyClassifier,0.5380760538469097,0.3333333333333333,,0.376477923831301,0.2010104656219482
BernoulliNB,0.8240740740740741,0.867595818815331,0.867595818815331,0.8289155407300117,0.018017292022705
LGBMClassifier,0.6728395061728395,0.7537746806039489,0.7537746806039489,0.6730046824747268,0.3994474411010742
AdaBoostClassifier,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,0.2565243244171142
GaussianNB,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,0.0197644233703613
QuadraticDiscriminantAnalysis,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,0.025649070739746
NuSVC,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,5.455582618713379
XGBClassifier,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,3.798542499542236
SVC,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,1.7122602462768557
KNeighborsClassifier,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,0.1677114963531494
RandomForestClassifier,0.6712962962962963,0.7526132404181185,0.7526132404181185,0.6712962962962963,0.4886159896850586
LabelPropagation,0.6709104938271605,0.7520385277744404,0.7520385277744405,0.67095217823768,2.4780495166778564
LabelSpreading,0.6709104938271605,0.7520385277744404,0.7520385277744405,0.67095217823768,3.759334802627564
ExtraTreesClassifier,0.6701388888888888,0.7517421602787456,0.7517421602787456,0.6700129531268721,0.4718239307403564
DecisionTreeClassifier,0.6701388888888888,0.7517421602787456,0.7517421602787456,0.6700129531268721,0.0363860130310058
BaggingClassifier,0.6701388888888888,0.751457807681525,0.7514578076815251,0.670097008546945,0.0920026302337646
ExtraTreeClassifier,0.6670524691358025,0.7485662221154231,0.7485662221154232,0.6668401162112982,0.0240731239318847
NearestCentroid,0.6396604938271605,0.6577155673034563,0.6577155673034564,0.6496501802287943,0.0306761264801025
Perceptron,0.5864197530864198,0.5661780607953862,0.5661780607953864,0.5952615285948619,0.0268914699554443
PassiveAggressiveClassifier,0.4236111111111111,0.5178621490648404,0.5178621490648404,0.3933005243997268,0.0264008045196533
CalibratedClassifierCV,0.3356481481481481,0.5,0.5,0.1686966429167469,0.095569372177124
DummyClassifier,0.3356481481481481,0.5,0.5,0.1686966429167469,0.018045425415039
LogisticRegression,0.3356481481481481,0.5,0.5,0.1686966429167469,0.0345747470855712
LinearDiscriminantAnalysis,0.3356481481481481,0.5,0.5,0.1686966429167469,0.0374388694763183
LinearSVC,0.3356481481481481,0.5,0.5,0.1686966429167469,0.038102388381958
RidgeClassifier,0.3356481481481481,0.5,0.5,0.1686966429167469,0.0206782817840576
RidgeClassifierCV,0.3356481481481481,0.5,0.5,0.1686966429167469,0.025151252746582
SGDClassifier,0.3356481481481481,0.5,0.5,0.1686966429167469,0.0734078884124755
