Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,1.0,1.0,0.0967211723327636
BaggingClassifier,1.0,1.0,1.0,1.0,0.0286996364593505
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.0109698772430419
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.1104252338409423
LGBMClassifier,1.0,1.0,1.0,1.0,0.1112561225891113
XGBClassifier,1.0,1.0,1.0,1.0,0.0984680652618408
NuSVC,1.0,1.0,1.0,1.0,0.011554479598999
RandomForestClassifier,1.0,1.0,1.0,1.0,0.1297836303710937
LabelPropagation,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0130882263183593
KNeighborsClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.013796329498291
ExtraTreeClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0110063552856445
SVC,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0125534534454345
LabelSpreading,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0160613059997558
CalibratedClassifierCV,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0297610759735107
BernoulliNB,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0126278400421142
RidgeClassifierCV,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0120587348937988
GaussianNB,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0131216049194335
LinearSVC,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0154354572296142
LinearDiscriminantAnalysis,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0149612426757812
QuadraticDiscriminantAnalysis,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.010756492614746
PassiveAggressiveClassifier,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0120699405670166
NearestCentroid,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0117847919464111
LogisticRegression,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.012709617614746
RidgeClassifier,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0126459598541259
SGDClassifier,0.9166666666666666,0.9166666666666666,0.9166666666666664,0.9166666666666666,0.0119478702545166
Perceptron,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.625,0.0113534927368164
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.0103580951690673
ExtraTreesClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.1030423641204834
DecisionTreeClassifier,0.7096774193548387,0.7003367003367004,,0.7059957924263675,0.010779857635498
RandomForestClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.1348452568054199
LabelPropagation,0.6451612903225806,0.6397306397306398,,0.648032774784085,0.0109789371490478
LabelSpreading,0.6451612903225806,0.6397306397306398,,0.648032774784085,0.01151704788208
ExtraTreeClassifier,0.6451612903225806,0.6262626262626262,,0.6267521538769786,0.0109534263610839
LinearSVC,0.6129032258064516,0.6094276094276094,,0.6047679683078664,0.0105540752410888
BernoulliNB,0.6129032258064516,0.6094276094276094,,0.6141935483870967,0.0119154453277587
RidgeClassifierCV,0.6129032258064516,0.6094276094276094,,0.6047679683078664,0.0118391513824462
RidgeClassifier,0.6129032258064516,0.6094276094276094,,0.6047679683078664,0.0112652778625488
AdaBoostClassifier,0.6129032258064516,0.6026936026936027,,0.6095356256646579,0.091785192489624
BaggingClassifier,0.6129032258064516,0.6026936026936027,,0.6048387096774194,0.0286567211151123
LogisticRegression,0.5806451612903226,0.5791245791245792,,0.5758974871129071,0.0117607116699218
LinearDiscriminantAnalysis,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0106816291809082
NearestCentroid,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0109789371490478
NuSVC,0.5806451612903226,0.5723905723905723,,0.5568605640253877,0.011634349822998
SVC,0.5483870967741935,0.5488215488215488,,0.5377928692699491,0.0113105773925781
GaussianNB,0.5161290322580645,0.5185185185185185,,0.5037807331949946,0.0108208656311035
KNeighborsClassifier,0.5161290322580645,0.5185185185185185,,0.4780701754385964,0.0121300220489501
LGBMClassifier,0.5161290322580645,0.5185185185185185,,0.5122636868367418,0.2238686084747314
CalibratedClassifierCV,0.4838709677419355,0.5016835016835017,,0.3809429280397023,0.0473055839538574
QuadraticDiscriminantAnalysis,0.4838709677419355,0.4882154882154882,,0.4288468668891361,0.0105855464935302
SGDClassifier,0.4838709677419355,0.4747474747474747,,0.4574844368986983,0.0133132934570312
Perceptron,0.4838709677419355,0.468013468013468,,0.4604105571847507,0.0114612579345703
PassiveAggressiveClassifier,0.3870967741935484,0.3703703703703704,,0.3433270082226439,0.0126020908355712
DummyClassifier,0.2903225806451613,0.3333333333333333,,0.1306451612903225,0.0111234188079833
