Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BaggingClassifier,1.0,1.0,1.0,1.0,0.029911994934082
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.0119988918304443
CalibratedClassifierCV,1.0,1.0,1.0,1.0,0.0292212963104248
LabelPropagation,1.0,1.0,1.0,1.0,0.0120158195495605
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.1097886562347412
XGBClassifier,1.0,1.0,1.0,1.0,0.1114406585693359
SVC,1.0,1.0,1.0,1.0,0.0124740600585937
NuSVC,1.0,1.0,1.0,1.0,0.0130701065063476
LogisticRegression,1.0,1.0,1.0,1.0,0.0124557018280029
LinearSVC,1.0,1.0,1.0,1.0,0.0113029479980468
LabelSpreading,1.0,1.0,1.0,1.0,0.0118038654327392
LGBMClassifier,1.0,1.0,1.0,1.0,0.1026368141174316
RandomForestClassifier,1.0,1.0,1.0,1.0,0.1239757537841796
RidgeClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0117709636688232
Perceptron,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0120861530303955
AdaBoostClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0939209461212158
BernoulliNB,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0136785507202148
PassiveAggressiveClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0113625526428222
KNeighborsClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0140993595123291
RidgeClassifierCV,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.013364553451538
LinearDiscriminantAnalysis,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0111205577850341
GaussianNB,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0136258602142333
NearestCentroid,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0123703479766845
SGDClassifier,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0118920803070068
ExtraTreeClassifier,0.9166666666666666,0.9166666666666666,0.9166666666666664,0.9166666666666666,0.0113081932067871
QuadraticDiscriminantAnalysis,0.9166666666666666,0.9166666666666666,0.9166666666666664,0.9166666666666666,0.0108423233032226
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.0104622840881347
ExtraTreesClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.1088924407958984
RandomForestClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.132265567779541
LabelPropagation,0.6774193548387096,0.6700336700336701,,0.6758064516129032,0.0129256248474121
LabelSpreading,0.6774193548387096,0.6700336700336701,,0.6758064516129032,0.0122475624084472
DecisionTreeClassifier,0.6774193548387096,0.6632996632996633,,0.6723867667684185,0.0116493701934814
BaggingClassifier,0.6774193548387096,0.6632996632996633,,0.6666666666666667,0.0324091911315918
ExtraTreeClassifier,0.6451612903225806,0.6262626262626262,,0.6267521538769786,0.0111260414123535
NuSVC,0.6129032258064516,0.6094276094276094,,0.592913694955179,0.015665054321289
AdaBoostClassifier,0.6129032258064516,0.6094276094276094,,0.6146756469337115,0.0931413173675537
BernoulliNB,0.6129032258064516,0.6094276094276094,,0.6141935483870967,0.0140366554260253
LGBMClassifier,0.5806451612903226,0.5791245791245792,,0.568679251455866,0.1897072792053222
RidgeClassifier,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0119783878326416
RidgeClassifierCV,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0144414901733398
LinearDiscriminantAnalysis,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0115566253662109
LinearSVC,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0116074085235595
LogisticRegression,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0137813091278076
NearestCentroid,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0120546817779541
GaussianNB,0.5483870967741935,0.5488215488215488,,0.532072673340749,0.0145473480224609
CalibratedClassifierCV,0.5161290322580645,0.5252525252525252,,0.4800782013685239,0.0435702800750732
KNeighborsClassifier,0.5161290322580645,0.5185185185185185,,0.4780701754385964,0.0151176452636718
Perceptron,0.5161290322580645,0.5185185185185185,,0.4103942652329749,0.0136704444885253
QuadraticDiscriminantAnalysis,0.4838709677419355,0.4882154882154882,,0.4282237852696257,0.0108907222747802
SVC,0.4516129032258064,0.4579124579124579,,0.407430987863925,0.0122156143188476
PassiveAggressiveClassifier,0.4516129032258064,0.4377104377104377,,0.3697295536005214,0.0131659507751464
DummyClassifier,0.2903225806451613,0.3333333333333333,,0.1306451612903225,0.010636568069458
SGDClassifier,0.3225806451612903,0.303030303030303,,0.2765570619708067,0.0130913257598876
