Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6641374373657838,0.7597967685021136,0.7597967685021136,0.7450876730438089,0.177666425704956
Perceptron,0.8691481746599857,0.7305680102357807,0.7305680102357807,0.8878193884093878,0.2254736423492431
BernoulliNB,0.8194702934860415,0.7244807596699427,0.7244807596699427,0.8549365607874089,0.1581799983978271
GaussianNB,0.8746599856836077,0.7013761243780086,0.7013761243780086,0.889765658682014,0.1442701816558838
QuadraticDiscriminantAnalysis,0.8978525411596278,0.660115207840549,0.660115207840549,0.9018327207518716,0.2767198085784912
DecisionTreeClassifier,0.8993557623478883,0.6531144433526115,0.6531144433526114,0.9022022815058256,0.709742546081543
PassiveAggressiveClassifier,0.8987831066571224,0.6436170327175026,0.6436170327175026,0.900987973083539,0.2000207901000976
BaggingClassifier,0.9358625626342162,0.6392417373541466,0.6392417373541466,0.9251742748616544,4.113239288330078
LinearDiscriminantAnalysis,0.935934144595562,0.6296319426904444,0.6296319426904444,0.9240153418764312,0.3377621173858642
LGBMClassifier,0.9407301360057264,0.6285400584919307,0.6285400584919307,0.9272701742542204,0.6810870170593262
XGBClassifier,0.939799570508232,0.619309281461229,0.619309281461229,0.9253211465682172,2.401355266571045
AdaBoostClassifier,0.9383679312813172,0.6065924486536347,0.6065924486536348,0.9224394899267148,3.104916572570801
LogisticRegression,0.9390837508947744,0.6033025079997762,0.6033025079997764,0.9224105853956812,0.3587460517883301
CalibratedClassifierCV,0.9382247673586256,0.5987047491047687,0.5987047491047687,0.9210932503198012,1.8239552974700928
ExtraTreeClassifier,0.9032211882605584,0.5982255614285108,0.5982255614285108,0.8990607190140647,0.1729629039764404
RandomForestClassifier,0.9398711524695776,0.598213347443175,0.5982133474431751,0.9221153805739684,7.465628147125244
SVC,0.939799570508232,0.5977153394750475,0.5977153394750476,0.921984415130221,73.18975567817688
LabelPropagation,0.9050823192555476,0.5969309558004293,0.5969309558004293,0.9000309816081753,155.55401849746704
LabelSpreading,0.9055833929849678,0.5967414469839292,0.5967414469839292,0.900310790877015,194.1458601951599
KNeighborsClassifier,0.928775948460988,0.5917767308062214,0.5917767308062214,0.9138784865033572,0.8632290363311768
SGDClassifier,0.9380816034359342,0.5834659203691174,0.5834659203691174,0.9183805780590436,0.3976936340332031
LinearSVC,0.935934144595562,0.5676067901769446,0.5676067901769445,0.9140394403308204,0.5991630554199219
ExtraTreesClassifier,0.9362204724409448,0.5631665840110175,0.5631665840110175,0.9133070833627528,6.864099502563477
RidgeClassifierCV,0.9333571939871153,0.5414084829892216,0.5414084829892215,0.9069250090714434,0.3213858604431152
RidgeClassifier,0.9333571939871153,0.5414084829892216,0.5414084829892215,0.9069250090714434,0.1611497402191162
DummyClassifier,0.928131710808876,0.5,0.5,0.8935369588912895,0.1005654335021972
NearestCentroid,0.4752874127935541,0.4194659612212505,,0.4723172444202363,0.2462446689605713
LGBMClassifier,0.5860273164979857,0.4072150284254961,,0.5281832167196903,1.7970643043518066
XGBClassifier,0.582342537093446,0.4053513162479784,,0.5245559640943435,2.228461503982544
RandomForestClassifier,0.5801807998427827,0.3983236566577334,,0.5213555027473864,19.8475980758667
BaggingClassifier,0.5491795224525892,0.3936827906039838,,0.5088481685428442,9.878071308135986
ExtraTreesClassifier,0.5739412400510956,0.3923268968642635,,0.5132727997745993,17.28745150566101
AdaBoostClassifier,0.5762503684779404,0.3910969301161532,,0.5079126198528566,4.739689826965332
BernoulliNB,0.5670138547705611,0.388948099864387,,0.5100821671845861,0.2629046440124511
Perceptron,0.4930726147194654,0.3874603841489748,,0.4799927121906333,0.9925985336303712
SVC,0.5758081949493957,0.3874204447747405,,0.5022639230859288,1844.645693778992
GaussianNB,0.5329664930726147,0.3873143881778085,,0.4327202778952583,0.2496285438537597
QuadraticDiscriminantAnalysis,0.4929743539353444,0.3839310533336939,,0.4266711988808499,0.4451532363891601
LogisticRegression,0.5676034194752874,0.3777153161242604,,0.4854419276185449,0.471736192703247
PassiveAggressiveClassifier,0.4549965608725557,0.377238637400093,,0.4573333304346454,0.6969707012176514
DecisionTreeClassifier,0.4751400216173725,0.3767910464843054,,0.4736066061355932,1.7870194911956787
LinearDiscriminantAnalysis,0.5611182077232977,0.3753794529885004,,0.4712358799161643,0.4737789630889892
KNeighborsClassifier,0.5279060626903803,0.3741116536940016,,0.4891683816847806,1.4372951984405518
CalibratedClassifierCV,0.564311683207232,0.3713040085972685,,0.4750247820669266,6.883609771728516
LabelPropagation,0.4676722020241721,0.3698180125115796,,0.4653572987377954,346.23597860336304
LabelSpreading,0.46747568045593,0.3692679380462758,,0.4650080208192564,423.4072296619415
LinearSVC,0.5634273361501425,0.3690302815109616,,0.4711755823363668,1.4988224506378174
RidgeClassifier,0.5621990763486293,0.3672361620114241,,0.4674323465114623,0.2581586837768554
RidgeClassifierCV,0.5621990763486293,0.3672361620114241,,0.4674323465114623,0.5350980758666992
