Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,1.0,1.0,0.1111807823181152
BaggingClassifier,1.0,1.0,1.0,1.0,0.0364389419555664
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.0124857425689697
KNeighborsClassifier,1.0,1.0,1.0,1.0,0.0143711566925048
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.1130344867706298
XGBClassifier,1.0,1.0,1.0,1.0,0.1085894107818603
LGBMClassifier,1.0,1.0,1.0,1.0,0.0882594585418701
QuadraticDiscriminantAnalysis,1.0,1.0,1.0,1.0,0.0126187801361083
RandomForestClassifier,1.0,1.0,1.0,1.0,0.1471145153045654
LogisticRegression,1.0,1.0,1.0,1.0,0.0134809017181396
LabelPropagation,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0137276649475097
RidgeClassifierCV,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0135831832885742
RidgeClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0143861770629882
SVC,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0124928951263427
ExtraTreeClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0126376152038574
CalibratedClassifierCV,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0346169471740722
LabelSpreading,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.013141393661499
LinearDiscriminantAnalysis,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0130097866058349
LinearSVC,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0130164623260498
NuSVC,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0139713287353515
NearestCentroid,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0134992599487304
GaussianNB,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0133335590362548
PassiveAggressiveClassifier,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0127651691436767
Perceptron,0.875,0.875,0.875,0.8747826086956522,0.0129256248474121
BernoulliNB,0.7916666666666666,0.7916666666666666,0.7916666666666667,0.7883597883597883,0.0135962963104248
SGDClassifier,0.75,0.75,0.7500000000000001,0.7428571428571429,0.0121653079986572
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.0134954452514648
DecisionTreeClassifier,0.7096774193548387,0.7070707070707071,,0.7096774193548387,0.0111944675445556
ExtraTreesClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.111238956451416
LabelSpreading,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.0115811824798583
RandomForestClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.1470162868499755
LabelPropagation,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.0118753910064697
ExtraTreeClassifier,0.6774193548387096,0.6632996632996633,,0.6678120617110799,0.0107698440551757
BaggingClassifier,0.6451612903225806,0.632996632996633,,0.6317972350230414,0.0348110198974609
NuSVC,0.6129032258064516,0.6094276094276094,,0.5912171320140959,0.012700080871582
AdaBoostClassifier,0.6129032258064516,0.6094276094276094,,0.6146756469337115,0.1201269626617431
GaussianNB,0.5806451612903226,0.5791245791245792,,0.5775192012288787,0.0112311840057373
NearestCentroid,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0109393596649169
LinearDiscriminantAnalysis,0.5806451612903226,0.5791245791245792,,0.5775192012288787,0.0108978748321533
LGBMClassifier,0.5806451612903226,0.5791245791245792,,0.568679251455866,0.1663637161254882
CalibratedClassifierCV,0.5483870967741935,0.5555555555555555,,0.5486803519061583,0.043534517288208
SVC,0.5483870967741935,0.5488215488215488,,0.5377928692699491,0.0128865242004394
LogisticRegression,0.5483870967741935,0.5488215488215488,,0.5467380500587331,0.0121364593505859
KNeighborsClassifier,0.5483870967741935,0.5488215488215488,,0.5236961181233626,0.0127325057983398
LinearSVC,0.5483870967741935,0.5488215488215488,,0.5467380500587331,0.0108602046966552
RidgeClassifierCV,0.5483870967741935,0.5488215488215488,,0.5467380500587331,0.0119106769561767
RidgeClassifier,0.5483870967741935,0.5488215488215488,,0.5467380500587331,0.0115430355072021
BernoulliNB,0.5483870967741935,0.5420875420875421,,0.5503072196620584,0.0116007328033447
QuadraticDiscriminantAnalysis,0.4516129032258064,0.4579124579124579,,0.4084101382488479,0.0110292434692382
Perceptron,0.4516129032258064,0.4377104377104377,,0.3697295536005214,0.0118563175201416
PassiveAggressiveClassifier,0.3870967741935484,0.3771043771043771,,0.3828919467629145,0.0126094818115234
DummyClassifier,0.2903225806451613,0.3333333333333333,,0.1306451612903225,0.010899543762207
SGDClassifier,0.3225806451612903,0.3232323232323232,,0.3169480465908152,0.0143449306488037
