Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0949962139129639
BaggingClassifier,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08391608391608396,0.0069727897644043
CalibratedClassifierCV,0.0,0.0,0.0,0.0,0.0026576519012451
ExtraTreesClassifier,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0190186500549316
DecisionTreeClassifier,0.0,0.0,0.0,0.0,0.0012936592102051007
PassiveAggressiveClassifier,0.0,0.0,0.0,0.0,0.0020709037780761996
Perceptron,0.0,0.0,0.0,0.0,0.0015907287597656007
NuSVC,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08391608391608396,0.0012004375457764001
LogisticRegression,0.0,0.0,0.0,0.0,0.0015189647674560998
LinearSVC,0.0,0.0,0.0,0.0,0.0018846988677978013
LinearDiscriminantAnalysis,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,-7.152557373098917e-06
LGBMClassifier,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08391608391608396,0.030112981796264704
XGBClassifier,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08391608391608396,0.3668289184570313
RidgeClassifierCV,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0017027854919433004
SGDClassifier,0.0,0.0,0.0,0.0,0.0017459392547606988
RidgeClassifier,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.001169204711914
RandomForestClassifier,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08391608391608396,0.018723487854003906
KNeighborsClassifier,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08524499654934448,0.0002677440643310998
BernoulliNB,-0.125,-0.12499999999999989,-0.12499999999999978,-0.12968944099378876,0.0008244514465331997
SVC,0.0,0.0,0.0,0.0,-6.461143493650089e-05
LabelSpreading,0.0,0.0,0.0,0.0,0.0006594657897948993
LabelPropagation,0.0,0.0,0.0,0.0,-0.0005221366882324999
GaussianNB,0.0,0.0,0.0,0.0,0.000462532043457
NearestCentroid,0.0,0.0,0.0,0.0,0.0013284683227538993
ExtraTreeClassifier,-0.04166666666666663,-0.04166666666666663,-0.04166666666666641,-0.041884057971014466,0.001619815826416
QuadraticDiscriminantAnalysis,0.375,0.375,0.3749999999999998,0.49688644688644684,0.0007698535919189002
DummyClassifier,0.0,0.0,0.0,0.0,0.0011072158813476996
