Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.7273405629091312,0.661195232978497,,0.7221646354374227,0.1065443992614746
BaggingClassifier,0.7671655532317809,0.6901863550923605,,0.7544618849121426,2.347506523132324
AdaBoostClassifier,0.7406059755347448,0.6525367403222433,,0.7153780780360892,1.490492582321167
KNeighborsClassifier,0.7274772652643241,0.6439373089851854,,0.7112615925381277,0.505532169342041
DecisionTreeClassifier,0.7448423925741328,0.6910679299912952,,0.7443325262434741,0.3910241603851318
GaussianNB,0.6345060983398886,0.6666089158967281,,0.621390345334462,0.08553938865661616
ExtraTreesClassifier,0.7721810242058477,0.6741842960097016,,0.7527447723075256,4.145321893692016
LabelPropagation,0.7428007497285458,0.6735087002601406,,0.7396559457919338,78.44606456756591
RandomForestClassifier,0.7809136026025169,0.6902935907770569,,0.7635840729058704,4.582859134674072
NuSVC,0.7510329549980087,0.7775362998940234,,0.7401296460186367,1.445676565170288
LabelSpreading,0.7429705924740126,0.6737786641739154,,0.7397967196104768,97.243243932724
SVC,0.732234972519562,0.6418882185943015,,0.7092951168563342,248.77483677864075
XGBClassifier,0.7982959279240242,0.6969279785972065,,0.780387583091956,0.5836468935012817
QuadraticDiscriminantAnalysis,0.5424891223991415,0.5505936511244711,,0.4903233014150795,0.1315675735473633
LGBMClassifier,0.7558760651882546,0.674639845125604,,0.7388593412896777,0.5684580326080322
LinearDiscriminantAnalysis,0.6826775305888491,0.6158107634215202,,0.6279057174135081,0.16238188743591306
CalibratedClassifierCV,0.683611534158733,0.6108379226060976,,0.6283163455023562,1.5438847064971923
DummyClassifier,0.518435698689819,0.4333333333333333,,0.38053800405259863,0.06290631294250484
LinearSVC,0.6827693470973502,0.6034323825163186,,0.625749835043828,0.42571244239807127
SGDClassifier,0.6767211295297545,0.598530739995413,,0.6188696215338813,0.5447542667388916
RidgeClassifier,0.6820813148177329,0.5965615544874642,,0.6234497455798276,0.08469018936157223
RidgeClassifierCV,0.6820813148177329,0.5965615544874642,,0.6234497455798276,0.16026821136474606
LogisticRegression,0.6844388787071127,0.6120294671479427,,0.6306343514134011,0.1639915466308593
PassiveAggressiveClassifier,0.623425409653387,0.5590895420925243,,0.5777637180283206,0.18601260185241691
Perceptron,0.6345209715725258,0.6003495804467797,,0.597708933862371,0.16145105361938475
NearestCentroid,0.6319363065082909,0.6332944921214593,,0.6492760814790104,0.08133845329284664
BernoulliNB,0.6569097028384675,0.606267981776515,,0.6480424759062057,0.0993700504302978
