Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.68087226434676,0.5775812805533874,,0.678849605557173,0.17002765337626138
BaggingClassifier,0.7194694704400649,0.5936327018093774,,0.7015857474658418,3.888721227645874
AdaBoostClassifier,0.7289669484718866,0.5813883943642327,,0.6990526692649297,2.447002092997233
KNeighborsClassifier,0.7102219654046978,0.5708438875903482,,0.6914503250006862,0.8333837191263834
DecisionTreeClassifier,0.682264202677318,0.5951019933076019,,0.6824594437473737,0.6441555023193359
GaussianNB,0.5476535330754416,0.6023167677964548,,0.5255580874004325,0.13450829188028965
ExtraTreesClassifier,0.7278285887301763,0.5669626033382794,,0.6964798538541261,6.841356833775838
LabelPropagation,0.6819976653181857,0.5696244892102232,,0.6789942687545073,130.7351876894633
RandomForestClassifier,0.7316301978859151,0.5837104178495282,,0.7049614371328073,7.55220627784729
NuSVC,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,4.314134359359741
LabelSpreading,0.6822807365606304,0.5700744290665146,,0.6792288917854122,162.06374915440878
SVC,0.728904165668804,0.5775297470398851,,0.6967608464549745,414.6167363325755
XGBClassifier,0.7310612372320322,0.5959039714629418,,0.707183444122608,0.758026917775472
QuadraticDiscriminantAnalysis,0.5623026591957019,0.5743620335800669,,0.534329806802014,0.2121721108754476
LGBMClassifier,0.7329117215503168,0.5980248821678137,,0.7090094670922857,0.8663741747538248
LinearDiscriminantAnalysis,0.6109141638846409,0.4999764126610073,,0.5195490343200831,0.2631227970123291
CalibratedClassifierCV,0.6124708365011141,0.4916883446353031,,0.5202334144681634,2.5494912465413413
DummyClassifier,0.6006186376013113,0.4444444444444444,,0.47957050854644584,0.09788091977437334
LinearSVC,0.6110671913988093,0.4793457778190045,,0.5159558970372833,0.7022450764973959
SGDClassifier,0.611739516958193,0.4835220526298409,,0.5160883861202169,0.9001954396565756
RidgeClassifier,0.6099204709327807,0.46789439777091385,,0.5121224145972824,0.13323775927225748
RidgeClassifierCV,0.6099204709327807,0.46789439777091385,,0.5121224145972824,0.2592868010203043
LogisticRegression,0.6138497440817472,0.49367425220504485,,0.5240967576532384,0.26496442159016925
PassiveAggressiveClassifier,0.5766767580244622,0.47502578003075047,,0.5155522446293553,0.3024082978566487
Perceptron,0.5629112967068978,0.5022661357614678,,0.5034156304020004,0.26153318087259925
NearestCentroid,0.5433705466894455,0.5467927281710067,,0.5720343143080132,0.12762037913004556
BernoulliNB,0.5818566731895606,0.5002053343862233,,0.5679409594763483,0.1556775569915771
