Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7576440434925051,0.6272998452634313,,0.7260781280080925,1.8007641434669495
BaggingClassifier,0.7908435156138002,0.6743618637260778,,0.7749328866031593,2.920201301574707
CalibratedClassifierCV,0.7706023806613792,0.6385474032576222,,0.7432212711487585,1.9125637412071228
ExtraTreesClassifier,0.7971128543313836,0.6543592898727543,,0.7727864958473879,5.086884558200836
DecisionTreeClassifier,0.76293956479174,0.6754638323497462,,0.7622711882673235,0.4830695390701294
PassiveAggressiveClassifier,0.6989383978692029,0.5797467247641195,,0.6800930076221513,0.2256964445114135
Perceptron,0.7166658749594844,0.6365001939492791,,0.7078202173306991,0.19264382123947144
NuSVC,0.7903225806451613,0.7895622895622896,,0.773905529953917,0.0114476680755615
LogisticRegression,0.771636561346854,0.6400368339349285,,0.7461187785375647,0.19699460268020624
LinearSVC,0.7695496468346505,0.6292904781453982,,0.7400131330755984,0.5231924057006836
LinearDiscriminantAnalysis,0.7694348761990243,0.6447634542769003,,0.7427079860376983,0.1938599348068237
LGBMClassifier,0.7767316555593923,0.6549287262676322,,0.7554297070750781,0.6798198223114014
XGBClassifier,0.8402433359974643,0.6780758646104448,,0.8163241514065827,0.7510234514872233
RidgeClassifierCV,0.7686896064851291,0.6207019431093301,,0.7371380212455977,0.19194692373275757
SGDClassifier,0.7619893748751561,0.6231634249942661,,0.7314128661881648,0.654425323009491
RidgeClassifier,0.7686896064851291,0.6207019431093301,,0.7371380212455977,0.10012471675872799
RandomForestClassifier,0.80802857732722,0.6744959083319484,,0.786335621595319,5.614546179771423
KNeighborsClassifier,0.7412331556544792,0.6165505560921088,,0.7209325211356405,0.5910875797271729
BernoulliNB,0.7370321902764795,0.660414175426419,,0.7279930697510497,0.11971896886825557
SVC,0.7471802897235266,0.613989193103504,,0.7184744265333988,310.6513370871544
LabelSpreading,0.76059981466659,0.6538522500780215,,0.7566014299760768,120.84063810110092
LabelPropagation,0.7603875112347565,0.653514795185803,,0.7564254627028982,97.57894283533096
GaussianNB,0.6250191969989348,0.6448900647315373,,0.6085934621310586,0.10206890106201166
NearestCentroid,0.6766873584440056,0.6798815618256997,,0.6945643245678894,0.09457105398178098
ExtraTreeClassifier,0.7408693764759202,0.6380488692098248,,0.7343275427203553,0.1274454593658447
QuadraticDiscriminantAnalysis,0.509997977073001,0.4998709837662161,,0.44475965723183036,0.15587574243545532
DummyClassifier,0.5641325863252368,0.41666666666666663,,0.4334983443365616,0.07410550117492673
