Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.5885897706514521,0.5967159856042612,,0.6239899169002724,0.17722654342651367
BernoulliNB,0.704575133241131,0.5554663979908853,,0.6877913889511075,0.2245291471481323
GaussianNB,0.4852534477613106,0.5267329914159365,,0.45204819202661073,0.19205176830291742
Perceptron,0.6913962660480011,0.5255256404238109,,0.6764915456084715,0.3739597797393799
DecisionTreeClassifier,0.6871694521641252,0.5159108296826573,,0.6874002265470223,0.9548119306564331
LGBMClassifier,0.7631407304736233,0.5202951629729748,,0.7272252615643906,1.2380558252334595
QuadraticDiscriminantAnalysis,0.507227136941701,0.48480089009135463,,0.4652057711289828,0.30109071731567383
BaggingClassifier,0.7429773538082456,0.5137068924353205,,0.7160896821247247,5.8047181367874146
XGBClassifier,0.7603650039961964,0.5171137969156672,,0.724486227109874,1.0962817668914795
LinearDiscriminantAnalysis,0.7485471717528873,0.4999646189915109,,0.6949752300217513,0.3764493465423584
ExtraTreeClassifier,0.6846957421991523,0.489481576803488,,0.6815179051829132,0.24357140064239502
CalibratedClassifierCV,0.7508821806775972,0.48753251695295463,,0.6960018002438717,3.7896525859832764
LogisticRegression,0.7529505420485467,0.4905113783075673,,0.7017968150214842,0.38145697116851807
AdaBoostClassifier,0.757223570855978,0.4953404312676034,,0.7122900648233563,3.545799970626831
RandomForestClassifier,0.7612184449770206,0.49882346649554654,,0.721153216625173,11.100253939628601
PassiveAggressiveClassifier,0.7043284086416315,0.4743082643430539,,0.6891050871175343,0.43997383117675776
SVC,0.7571293966513541,0.4895524602810821,,0.7088523306084237,621.2906867265701
SGDClassifier,0.7497852013632154,0.47528307894476135,,0.6897842577219518,1.2972581386566162
LabelSpreading,0.6871942529890938,0.47836948332102625,,0.6825543986040801,241.668790102005
LabelPropagation,0.6867696461254268,0.4776945735365893,,0.6822024640577228,195.14550578594208
KNeighborsClassifier,0.729106096255195,0.47952367110677674,,0.7008865484269912,1.1684203147888184
LinearSVC,0.7487767130241398,0.4690186667285068,,0.6895855240975515,1.0354713201522827
ExtraTreesClassifier,0.7555160312434125,0.47370174472867344,,0.708430841707151,10.072499632835388
RidgeClassifierCV,0.747056632325097,0.4518415966563708,,0.6838353004375501,0.37215352058410645
RidgeClassifier,0.747056632325097,0.4518415966563708,,0.6838353004375501,0.1883805990219116
DummyClassifier,0.7331038823278928,0.41666666666666663,,0.6350074413612953,0.13776659965515137
