Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7580645161290323,0.7592592592592593,,0.7398661911928286,0.0557283163070678
BaggingClassifier,0.8387096774193548,0.835016835016835,,0.8337760910815939,0.0356844663619995
CalibratedClassifierCV,0.7903225806451613,0.7895622895622896,,0.7904407420536452,0.0354748964309692
ExtraTreesClassifier,0.8387096774193548,0.835016835016835,,0.8371421499876248,0.10126948356628415
DecisionTreeClassifier,0.8387096774193548,0.835016835016835,,0.8371421499876248,0.0113271474838256
PassiveAggressiveClassifier,0.6935483870967742,0.6851851851851852,,0.6710809281267685,0.01141905784606925
Perceptron,0.7419354838709677,0.7474747474747475,,0.7391488890529267,0.01132786273956295
NuSVC,0.7903225806451613,0.7895622895622896,,0.773905529953917,0.0114476680755615
LogisticRegression,0.7903225806451613,0.7895622895622896,,0.7904407420536452,0.012532234191894451
LinearSVC,0.7903225806451613,0.7895622895622896,,0.7904407420536452,0.010913491249084448
LinearDiscriminantAnalysis,0.7903225806451613,0.7895622895622896,,0.7904407420536452,0.011270523071289
LGBMClassifier,0.7903225806451613,0.7895622895622896,,0.7836341525857655,0.1215838193893432
XGBClassifier,1.0,1.0,1.0,1.0,0.0605068206787109
RidgeClassifierCV,0.7903225806451613,0.7895622895622896,,0.7904407420536452,0.01174032688140865
SGDClassifier,0.7741935483870968,0.771043771043771,,0.7730414746543779,0.0115925073623657
RidgeClassifier,0.7903225806451613,0.7895622895622896,,0.7904407420536452,0.011868834495544399
RandomForestClassifier,0.8548387096774194,0.8501683501683501,,0.8515180265654649,0.1288384199142456
KNeighborsClassifier,0.7533602150537635,0.753577441077441,,0.74097849384429,0.0137548446655273
BernoulliNB,0.769489247311828,0.7653619528619527,,0.7681947505509918,0.01490879058837885
SVC,0.737231182795699,0.7384259259259258,,0.7280965224583738,0.0119874477386474
LabelSpreading,0.834005376344086,0.8293350168350168,,0.8306484613480736,0.012486100196838351
LabelPropagation,0.834005376344086,0.8293350168350168,,0.8306484613480736,0.0123798847198486
GaussianNB,0.7647849462365591,0.7630471380471382,,0.7651387322355063,0.012086033821105902
NearestCentroid,0.7647849462365591,0.7630471380471382,,0.7651387322355063,0.0119155645370483
ExtraTreeClassifier,0.7970430107526881,0.7866161616161615,,0.7871371802577973,0.011319518089294399
QuadraticDiscriminantAnalysis,0.512768817204301,0.5149410774410774,,0.42431354333467797,0.010660767555236799
DummyClassifier,0.3951612903225806,0.41666666666666663,,0.2319892473118279,0.0104444026947021
