Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7518278651494662,0.7014798149336157,,0.7473925141637368,0.09639382362365716
LGBMClassifier,0.7425365637157038,0.6608368039104419,,0.7289270687223697,0.69978346824646
AdaBoostClassifier,0.7598875413816805,0.6699092817417533,,0.7425156737728947,1.614821195602417
GaussianNB,0.7014012321108613,0.6574223158377459,,0.6823705940397886,0.08833179473876951
QuadraticDiscriminantAnalysis,0.6917223453901393,0.6406746429547823,,0.6692930086173614,0.15562815666198723
NuSVC,0.7510329549980087,0.7752916309826879,,0.7431461473911547,1.8262571493784587
XGBClassifier,0.7985015616501638,0.6976758340817742,,0.7828532813646361,1.5738847851753235
SVC,0.7389608701676287,0.6493828537861497,,0.7193751247846352,405.9218922615051
KNeighborsClassifier,0.7205132684426397,0.639275036802132,,0.7023769681831047,0.47388472557067873
RandomForestClassifier,0.77974330790733,0.6912455086339806,,0.764041163778276,5.3379633903503425
LabelPropagation,0.7281729306835718,0.6620345048498949,,0.7276795592659621,97.32273197174072
LabelSpreading,0.7282829715078679,0.6620550903813154,,0.727731649062515,122.28314018249512
ExtraTreesClassifier,0.7781233431665109,0.682847849843874,,0.7611682540499617,4.856780862808227
DecisionTreeClassifier,0.7485514485923843,0.692983430237824,,0.7487816675224768,0.4788970947265625
BaggingClassifier,0.7536920667809339,0.6788605793930472,,0.7427311929832803,2.7814019203186033
ExtraTreeClassifier,0.7234428439862508,0.6577706597898672,,0.7196054561325076,0.11874647140502922
NearestCentroid,0.6574084058529077,0.6677832808709807,,0.674787371671261,0.0937676906585693
Perceptron,0.6249944207928254,0.5574555335562719,,0.6035537539167024,0.22240958213806153
PassiveAggressiveClassifier,0.6250023006405917,0.5594069887057185,,0.6027698906269425,0.2010868549346924
CalibratedClassifierCV,0.6478171370969322,0.5798173564419729,,0.572786043262304,1.8017151355743408
DummyClassifier,0.518435698689819,0.4333333333333333,,0.38053800405259863,0.06810641288757317
LogisticRegression,0.6678320139616167,0.5945294671661644,,0.613745320428698,0.18107333183288568
LinearDiscriminantAnalysis,0.6662396631381219,0.6002908551488534,,0.6119149499992614,0.1722003936767578
LinearSVC,0.6729723243917728,0.5931058901376675,,0.6152808524541538,0.42704086303710936
RidgeClassifier,0.6721888307404955,0.586957783782008,,0.6130162531270924,0.09302620887756345
RidgeClassifierCV,0.6721888307404955,0.586957783782008,,0.6130162531270924,0.1920811653137207
SGDClassifier,0.6460650326667495,0.5671246516531037,,0.5819753769851218,0.5645155429840087
