Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7817460008011746,0.6490155220378189,,0.7600001226790993,1.954395413398743
BaggingClassifier,0.7745803612539451,0.6607112723209279,,0.7608897390923641,3.4537517428398132
DecisionTreeClassifier,0.7681545885182581,0.6782937477275937,,0.7684738461213779,0.5895248651504517
ExtraTreesClassifier,0.8051194567359166,0.6656242722351562,,0.7839570792807341,5.953020095825195
LGBMClassifier,0.7599608281014198,0.6376023347370651,,0.7429076652842805,0.7748674750328064
XGBClassifier,0.8405175142989839,0.6790730052565351,,0.8196117491034892,0.8323322137196859
NuSVC,0.7903225806451613,0.7861952861952861,,0.7784302820126938,0.0115944147109985
RandomForestClassifier,0.8068550608100886,0.6759035756879461,,0.7872273806487711,6.5503002405166635
LabelPropagation,0.7424885398976746,0.6395334991187587,,0.7418614045230326,121.03390258550644
KNeighborsClassifier,0.7325281596273737,0.6107227158632922,,0.7098267406918619,0.550428032875061
ExtraTreeClassifier,0.7375404376988628,0.6350717692084781,,0.7327967911128099,0.14241480827331537
SVC,0.7555876617836099,0.6233574870933143,,0.731074436443775,506.97430026531214
LabelSpreading,0.7426260909280448,0.6395592310330341,,0.7419265167687238,151.914091527462
CalibratedClassifierCV,0.7258593843341283,0.5997716955524661,,0.6738083933486934,2.228251576423645
BernoulliNB,0.7337663129183143,0.6599508139631868,,0.727011757522168,0.1159879565238952
RidgeClassifierCV,0.7563240013885824,0.6086972297275101,,0.7240961556796788,0.23381364345550534
GaussianNB,0.7086381142126507,0.6334068146578095,,0.6848187730127167,0.10547363758087155
LinearSVC,0.7573033684526789,0.6163823626720843,,0.7269269048385054,0.5242754817008972
LinearDiscriminantAnalysis,0.7488875418856152,0.6253635689360667,,0.72271952676989,0.20589077472686768
QuadraticDiscriminantAnalysis,0.6965395058117483,0.6124722235541049,,0.6684717912346826,0.18812292814254755
PassiveAggressiveClassifier,0.6753500980229619,0.569793198615938,,0.6551372321837465,0.24475836753845212
NearestCentroid,0.6618453838593444,0.6703002092628618,,0.6810716695318777,0.109540581703186
LogisticRegression,0.750877980414984,0.6181618339577055,,0.7250074898066857,0.2176979780197143
RidgeClassifier,0.7563240013885824,0.6086972297275101,,0.7240961556796788,0.11111319065093991
SGDClassifier,0.7236692537963999,0.5839058145663796,,0.6852950605022156,0.6872924566268921
Perceptron,0.6346380877194269,0.5552749017464934,,0.6056268102471626,0.2712891101837158
DummyClassifier,0.5641325863252368,0.41666666666666663,,0.4334983443365616,0.0806216597557067
