Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7431898110914044,0.660434932857934,,0.7355617021158903,0.1524752775828043
LGBMClassifier,0.7321845954401515,0.5952218336778969,,0.710790552258369,1.054597536722819
AdaBoostClassifier,0.7288448270339836,0.5822842686717213,,0.7010142477332719,2.628533204396566
GaussianNB,0.6914034872098584,0.6173087980011812,,0.6639961069733442,0.13923883438110352
QuadraticDiscriminantAnalysis,0.6860246975140315,0.5994970199639186,,0.667178086704585,0.25226624806722003
NuSVC,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,5.455582618713379
XGBClassifier,0.7313354155335517,0.5969011121090323,,0.7104710418195147,2.065690358479818
SVC,0.7293613069102055,0.5799197955919554,,0.7002739616960033,676.5285324255625
KNeighborsClassifier,0.7093679922072669,0.5731744440529362,,0.6918512653039034,0.7811657587687174
RandomForestClassifier,0.7296797067272706,0.5852969476110675,,0.7057232552534835,8.808396021525066
LabelPropagation,0.6791233432539817,0.5707028503951673,,0.6773680506601694,162.19653089841208
LabelSpreading,0.6793067446278086,0.5707371596142014,,0.6774548669877576,203.7960408528646
ExtraTreesClassifier,0.726979765492572,0.5713008496275567,,0.7009350723729595,8.023478905359903
DecisionTreeClassifier,0.6776932745356943,0.5881934836174733,,0.6793041817286722,0.7909119129180908
BaggingClassifier,0.7185190360327393,0.5972030980905445,,0.7029390850796607,4.6165510813395185
ExtraTreeClassifier,0.6712398654251133,0.5680857797844586,,0.6710047524067807,0.19059085845947257
NearestCentroid,0.5965767337691831,0.6143750528545525,,0.6256571527216995,0.14869157473246253
Perceptron,0.6581448231851751,0.550865844367075,,0.6441194041329206,0.36307772000630695
PassiveAggressiveClassifier,0.6070826874475811,0.5033326354971851,,0.5848128429427176,0.326920747756958
CalibratedClassifierCV,0.6128493503586864,0.49357887128656536,,0.522301124062634,2.977169672648112
DummyClassifier,0.6006186376013113,0.4444444444444444,,0.47957050854644584,0.10635018348693842
LogisticRegression,0.613949413950365,0.49228536334652534,,0.5255817329822222,0.29363210995992023
LinearDiscriminantAnalysis,0.6112954959112067,0.5018876766510069,,0.5220858610973479,0.27845303217569983
LinearSVC,0.6117639098285819,0.4798117248646871,,0.5185174592929954,0.7030715942382812
RidgeClassifier,0.6104580870764532,0.469564880938588,,0.5147431270812265,0.14707326889038083
RidgeClassifierCV,0.6104580870764532,0.469564880938588,,0.5147431270812265,0.31216931343078613
SGDClassifier,0.6099291763083818,0.48140303895045894,,0.5119085937867481,0.932438850402832
