Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.5750348537401944,0.5927047956301006,,0.6136606389681522,0.20769929885864255
Perceptron,0.6940073582345526,0.5432097361529195,,0.6685483419019499,0.5311708450317383
BernoulliNB,0.7027476796000695,0.5568544898792355,,0.6888847828088296,0.21970427036285395
GaussianNB,0.7008783789629358,0.5492210367230262,,0.6597052213859782,0.1989760398864746
QuadraticDiscriminantAnalysis,0.6928101944191954,0.5225033696671323,,0.6644781909828392,0.36557483673095703
BaggingClassifier,0.7427091096046645,0.5200757432950542,,0.7193601233460185,6.878825306892395
DecisionTreeClassifier,0.6814704673590969,0.5064191452868372,,0.6839497960295723,1.1681748628616333
LinearDiscriminantAnalysis,0.749119169792736,0.5028315149765104,,0.6987804701876484,0.3989601135253906
XGBClassifier,0.7607762714484758,0.5186095078848029,,0.7294176236552339,1.1992642879486084
LGBMClassifier,0.7618571400738074,0.515945410214871,,0.72968348715019,1.3821725845336914
PassiveAggressiveClassifier,0.6988184756158161,0.49606787871335756,,0.6805690022142131,0.47718071937561035
CalibratedClassifierCV,0.7514499514639555,0.490368306929848,,0.6991033646355774,4.417969822883606
RandomForestClassifier,0.7588714119427578,0.5016388012075421,,0.7229367347320771,12.96828603744507
AdaBoostClassifier,0.7570403886991235,0.4966842427288363,,0.7152324325258697,3.814537644386292
ExtraTreeClassifier,0.6733335635697686,0.47784555861897643,,0.673087070504522,0.27384972572326655
LogisticRegression,0.7531000468514734,0.488428045019788,,0.7040242780149599,0.4231607913970947
SVC,0.7578151085134563,0.4931375331091875,,0.7141220034699669,1013.9366685152053
KNeighborsClassifier,0.7278251364590486,0.48301950580065856,,0.7014879588818169,1.0878928899765015
LabelSpreading,0.6835048700281326,0.4800864755340819,,0.6807062113627964,303.8143938779831
LabelPropagation,0.6832297679673923,0.4800350117055308,,0.6805759868714141,242.05577158927917
SGDClassifier,0.7470696903884987,0.4721045584256884,,0.6835145692217487,1.3619543313980103
LinearSVC,0.7498217906687987,0.4697175872970306,,0.6934278674811197,1.0355561971664429
ExtraTreesClassifier,0.7554002037944136,0.48108019430196225,,0.7163961319960033,11.799306392669678
RidgeClassifierCV,0.7478630565406057,0.45434732140788203,,0.6877663691634663,0.4556783437728882
RidgeClassifier,0.7478630565406057,0.45434732140788203,,0.6877663691634663,0.21027076244354245
DummyClassifier,0.7331038823278928,0.41666666666666663,,0.6350074413612953,0.15050256252288813
