Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.8064516129032258,0.8013468013468014,,0.804767812832329,0.09425318241119379
BaggingClassifier,0.8064516129032258,0.8013468013468014,,0.8024193548387097,0.0286781787872314
DecisionTreeClassifier,0.8548387096774194,0.8501683501683501,,0.8529978962131837,0.01087486743926995
ExtraTreesClassifier,0.8548387096774194,0.8501683501683501,,0.8515180265654649,0.10673379898071285
LGBMClassifier,0.7580645161290323,0.7592592592592593,,0.7561318434183709,0.16756236553192133
XGBClassifier,1.0,1.0,1.0,1.0,0.0984680652618408
NuSVC,0.7903225806451613,0.7861952861952861,,0.7784302820126938,0.0115944147109985
RandomForestClassifier,0.8548387096774194,0.8501683501683501,,0.8515180265654649,0.13231444358825678
LabelPropagation,0.801747311827957,0.7990319865319865,,0.8031468221746512,0.01203358173370355
KNeighborsClassifier,0.737231182795699,0.7384259259259258,,0.7181655225019069,0.01296317577362055
ExtraTreeClassifier,0.801747311827957,0.7922979797979797,,0.792506511721098,0.010979890823364199
SVC,0.7533602150537635,0.753577441077441,,0.7480268694175832,0.011932015419006299
LabelSpreading,0.801747311827957,0.7990319865319865,,0.8031468221746512,0.0137891769409179
CalibratedClassifierCV,0.700268817204301,0.7091750841750843,,0.6485134220618092,0.038533329963684054
BernoulliNB,0.7647849462365591,0.7630471380471382,,0.7651387322355063,0.01227164268493645
RidgeClassifierCV,0.7647849462365591,0.7630471380471382,,0.7604259421958912,0.0119489431381225
GaussianNB,0.7163978494623655,0.7175925925925927,,0.7099323246394553,0.0119712352752685
LinearSVC,0.7647849462365591,0.7630471380471382,,0.7604259421958912,0.0129947662353515
LinearDiscriminantAnalysis,0.7486559139784946,0.7478956228956231,,0.7466585833521318,0.012821435928344699
QuadraticDiscriminantAnalysis,0.700268817204301,0.7024410774410775,,0.6724653914865261,0.0106710195541381
PassiveAggressiveClassifier,0.6518817204301075,0.6435185185185186,,0.6297054621532799,0.0123360157012939
NearestCentroid,0.7486559139784946,0.7478956228956231,,0.7484827000956034,0.01138186454772945
LogisticRegression,0.7486559139784946,0.7478956228956231,,0.7459907015984115,0.012235164642333901
RidgeClassifier,0.7647849462365591,0.7630471380471382,,0.7604259421958912,0.01195561885833735
SGDClassifier,0.700268817204301,0.6957070707070707,,0.6870755517826824,0.0126305818557739
Perceptron,0.575268817204301,0.5673400673400673,,0.5427052785923754,0.011407375335693349
DummyClassifier,0.3951612903225806,0.41666666666666663,,0.2319892473118279,0.0107407569885253
