Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7966504589524516,0.6851758513851957,,0.7748812540798653,2.0222396850585938
BaggingClassifier,0.7900873946958775,0.6949222724553248,,0.7768880682943147,3.3796554803848267
DecisionTreeClassifier,0.7610247930808978,0.6947819556571388,,0.7614633069618224,0.5900079607963562
ExtraTreesClassifier,0.7953489027253028,0.6760367747899433,,0.772635951125046,6.003903269767761
LGBMClassifier,0.8001010706697934,0.6966469994932679,,0.7822505786798175,0.8286464810371398
XGBClassifier,0.7983327757180696,0.6946688997004127,,0.7807153782828329,1.4735215902328491
NuSVC,0.8153935185185186,0.8559088269454123,0.8559088269454123,0.8154193738566469,21.26483118534088
RandomForestClassifier,0.798454873710307,0.6888249500073701,,0.7792817767052028,6.639746010303497
ExtraTreeClassifier,0.738658913243265,0.6612621500574195,,0.7401512734592608,0.15172427892684934
LabelPropagation,0.7313410777988083,0.642144450393695,,0.7307783792817875,124.12410742044449
LabelSpreading,0.7315558236828456,0.6422273368305276,,0.7308871844248022,155.7958911061287
KNeighborsClassifier,0.7217274329867543,0.6285705846214877,,0.696973708135694,0.6457750201225281
DummyClassifier,0.5754639782009834,0.4583333333333333,,0.4430112147431677,0.08498448133468625
CalibratedClassifierCV,0.7096352983047249,0.61574437079963,,0.6418908600776867,2.05844509601593
BernoulliNB,0.6736017654816021,0.6264279418150264,,0.6209778998491498,0.12351089715957639
GaussianNB,0.667485079147539,0.6247654691960655,,0.6031891203348405,0.10900902748107905
LogisticRegression,0.710409430805137,0.618227372043483,,0.6440773047253388,0.18442744016647336
LinearSVC,0.6985143666347021,0.59848546049646,,0.628325198457684,0.523806631565094
LinearDiscriminantAnalysis,0.7087485087954317,0.6225594810554346,,0.6412107842783864,0.22505289316177363
RidgeClassifierCV,0.7079639488352875,0.6012246031788642,,0.6359016534206168,0.24440664052963254
RidgeClassifier,0.7079516662372722,0.6012169942185525,,0.6358933495853315,0.11604660749435422
SVC,0.712560599922075,0.6209422397524684,,0.6476666388926254,486.8478375077248
QuadraticDiscriminantAnalysis,0.6696104997950159,0.6238515053855207,,0.6182079008795924,0.1772158145904541
SGDClassifier,0.7073612328706391,0.6173469041633906,,0.6365196718856581,0.7173640727996826
PassiveAggressiveClassifier,0.623344335963,0.5457548593307568,,0.6117139893542882,0.24485051631927487
Perceptron,0.6966682025506954,0.5983556598413827,,0.6913257901309589,0.2506108880043029
NearestCentroid,0.642334930926625,0.6346123516157673,,0.6609436308914893,0.10174095630645745
