Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,-0.0011619516834716521,-0.0010904770242876009,,0.0018474026247145264,0.021341204643249474
BaggingClassifier,0.00048529186582875,-0.00030225390170825,,0.0006987576949332749,0.45619755983352656
AdaBoostClassifier,-7.475240146332499e-05,-0.0008654443879788499,,0.0005917521311681749,0.18354827165603632
KNeighborsClassifier,-0.05052237440010232,-0.03914566440460668,,-0.061179253006124874,0.017115354537963895
DecisionTreeClassifier,-0.0006733589270906705,-0.00154453932356265,,-0.000381275848707725,0.10424089431762693
GaussianNB,0.02757826267429106,-0.05613877331794233,,-0.020000424236462963,0.0049644708633422765
ExtraTreesClassifier,-0.0005225388223293442,0.000814822286233725,,0.0002760607344515,0.8500280976295471
LabelPropagation,-0.019740504523164303,-0.024657249847305725,,-0.0180325396753973,26.069412827491757
RandomForestClassifier,-0.000267774704129275,0.001042136620224,,0.000560698855597275,0.94510817527771
NuSVC,-0.0208333333333333,-0.0208333333333334,-0.0208333333333334,-0.0208695652173913,19.10214626789093
LabelSpreading,-0.019738062070960603,-0.024911818302691624,,-0.0180997018055613,34.24515503644945
SVC,-0.07370085766286139,-0.0517884038607788,,-0.11446921333990982,175.88235646486288
XGBClassifier,3.6847794045375e-05,-0.0022590788967938,,0.0003277951908768,0.8898746967315674
QuadraticDiscriminantAnalysis,0.11246683873157276,0.05766331353380398,,0.11251549083302696,0.015408575534820525
LGBMClassifier,0.0004172795070557999,-0.00187166213259235,,0.0004934783606031249,0.155254304409027
LinearDiscriminantAnalysis,0.0005628858819509999,-0.0024228284403208754,,0.001549008538324,0.024730086326599073
CalibratedClassifierCV,0.00028217092888935,-0.003021887676847325,,0.0017157992265640748,0.13917517662048337
DummyClassifier,0.0,0.0,,0.0,0.00905656814575195
LinearSVC,-0.0097860269144048,-0.011023872867793352,,-0.008641724320278474,-0.005597889423370376
SGDClassifier,-0.00144340484800565,0.004705364691009825,,-0.0005466177045045499,0.03947311639785765
RidgeClassifier,0.000511313037686775,0.00029619589036707506,,0.0018015386373696751,0.012970030307769775
RidgeClassifierCV,0.000523595635701925,0.00030380485067875006,,0.001809842472655025,0.04695725440979003
LogisticRegression,2.2122743826599994e-05,-0.0020283171103006002,,0.00100473648540995,-0.017331957817077602
PassiveAggressiveClassifier,-0.059163232555346515,-0.0605144756923061,,-0.02495019411772819,0.015286326408386225
Perceptron,0.024484730020521973,-0.028343941979718054,,0.06376406732945844,0.0517321228981018
NearestCentroid,0.0056403542428742,-0.004648861179154374,,0.0028969161395004245,0.003171145915985075
BernoulliNB,-0.00237407274390165,0.01169060769202565,,-0.04454303714941579,0.0038326382637024247
