Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7288672786032687,0.5802344685135942,,0.6998416721064871,2.66172464688619
BaggingClassifier,0.7201165262611701,0.5932296966070998,,0.7025174243924196,4.495610157648723
DecisionTreeClassifier,0.6813663907745303,0.5930426075428518,,0.6819510759490965,0.7829773426055908
ExtraTreesClassifier,0.7271318703004037,0.5680490330532577,,0.6968479348333947,7.968043804168701
LGBMClassifier,0.7334680942263913,0.5955293326576906,,0.7096674382397566,1.0704615116119383
XGBClassifier,0.7311103676240928,0.5928918662672168,,0.7076205043771105,1.9347349007924397
NuSVC,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,42.517374992370605
RandomForestClassifier,0.731273164947076,0.5850999333431601,,0.7057090356069371,8.810635805130005
ExtraTreeClassifier,0.6654341065465755,0.5622384222987816,,0.6674480747572753,0.19687843322753906
LabelPropagation,0.6556769926206333,0.5367481560804823,,0.6549508825206442,165.4947440624237
LabelSpreading,0.6559633204660164,0.5368586713295924,,0.6550959560446638,207.7239946524302
KNeighborsClassifier,0.6428587995378947,0.518649668384206,,0.6098779876591863,0.8556610743204752
DummyClassifier,0.6006186376013113,0.4444444444444444,,0.47957050854644584,0.1094397703806559
CalibratedClassifierCV,0.6128470644062999,0.4876591610661733,,0.5225211467702489,2.7344064712524414
BernoulliNB,0.5925801317532472,0.5296817001978129,,0.5226092277708944,0.16085338592529294
GaussianNB,0.5844245499744963,0.5274650700391984,,0.4988908550851487,0.14085666338602695
LogisticRegression,0.613879241073516,0.49096982939131073,,0.5254364063004516,0.24178512891133627
LinearSVC,0.6119080444018251,0.47853616955083567,,0.5183466414218395,0.6945145924886068
LinearDiscriminantAnalysis,0.6116646783939089,0.4967459747405794,,0.5216143790378486,0.2963424523671468
RidgeClassifierCV,0.6106185984470499,0.4682994709051522,,0.5145355378941557,0.3215945561726888
RidgeClassifier,0.6106022216496964,0.46828932562473663,,0.5145244661137753,0.1508524417877197
SVC,0.6167474665627666,0.4945896530032912,,0.5302221851901673,649.125700155894
QuadraticDiscriminantAnalysis,0.5733695552822433,0.5123575627362499,,0.5048569113177174,0.23262413342793783
SGDClassifier,0.6098149771608521,0.4897958722178541,,0.5153595625142108,0.9524947802225748
PassiveAggressiveClassifier,0.5950146701728889,0.4915620346632313,,0.579676623486877,0.3226416110992431
Perceptron,0.6233353811787049,0.4922519908996214,,0.6164064148133064,0.32939171791076655
NearestCentroid,0.5508910190132777,0.5405942465988008,,0.5758968691606804,0.13193170229593906
