Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BaggingClassifier,0.7896328224771646,0.670502164682498,,0.7735888732974301,3.44303447008133
DecisionTreeClassifier,0.7626157315013943,0.6710628575402344,,0.7613496076758672,0.5749875903129578
CalibratedClassifierCV,0.7548354854635334,0.6275300760116223,,0.719663596679594,2.2296959161758423
LabelPropagation,0.7617139355938961,0.6574843658955,,0.7596673041745767,129.18560308218002
ExtraTreesClassifier,0.8054468596288349,0.664724063519983,,0.7823011441064868,6.058584928512573
XGBClassifier,0.8401066852806495,0.6759913738216113,,0.8164957863113326,1.5152922471364338
SVC,0.7410804938879657,0.6094189751044164,,0.7061966007386417,456.95424085855484
NuSVC,0.8064516129032258,0.8047138047138047,,0.7964568474775895,0.0143675804138183
LogisticRegression,0.771965021053145,0.6402770863778005,,0.7466647377584521,0.19898927211761475
LinearSVC,0.770065515951286,0.6302784284443732,,0.7410311107387053,0.5664668083190918
LabelSpreading,0.7619318519180509,0.6576884905667093,,0.7598377788631097,155.34782123565674
LGBMClassifier,0.7765825499189208,0.6530094239888752,,0.7558732207206823,0.6892833709716797
RandomForestClassifier,0.8066929445836881,0.6731392396805314,,0.7850572555807904,6.891436338424683
RidgeClassifier,0.7585722782497745,0.6113891335420515,,0.7274505872929873,0.10728734731674192
Perceptron,0.7066604402362586,0.6489597832852444,,0.6778132726531672,0.2454753518104553
AdaBoostClassifier,0.7712889870748864,0.6418044314371221,,0.7509709124854377,2.029054343700409
BernoulliNB,0.7416337646126822,0.6698420374917543,,0.735579569340375,0.14228940010070795
PassiveAggressiveClassifier,0.7021593443983322,0.5979476878870362,,0.6727289987673549,0.25854289531707764
KNeighborsClassifier,0.7324667466372982,0.6104876476877081,,0.7096915269178232,0.7004625797271729
RidgeClassifierCV,0.7585722782497745,0.6113891335420515,,0.7274505872929873,0.21684175729751584
LinearDiscriminantAnalysis,0.7592059477681609,0.6364827129795863,,0.7330696519253463,0.21278041601181027
GaussianNB,0.7164924405365944,0.6409513716296564,,0.6917632970724354,0.10621058940887447
NearestCentroid,0.6618889716960802,0.6702597651083031,,0.6808274750322967,0.10525482892990108
SGDClassifier,0.6830234975118102,0.5406152024394371,,0.639261230911189,0.8414797782897948
ExtraTreeClassifier,0.7255470652668342,0.6298844102319162,,0.7221259366541103,0.13973373174667356
QuadraticDiscriminantAnalysis,0.7066126218229878,0.6107580894073991,,0.668713778479859,0.16834688186645505
DummyClassifier,0.5641325863252368,0.41666666666666663,,0.4334983443365616,0.07592320442199703
