Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.013644943582381221,0.01450458617369075,,0.0248927844773452,0.2282902002334595
BaggingClassifier,-0.0012106931366354752,-0.0038596990435797,,-0.0013440133057292252,0.5228331685066228
CalibratedClassifierCV,-0.015766895197845777,-0.011017327245999799,,-0.023557674469164548,0.3171321749687195
ExtraTreesClassifier,0.008334005297451276,0.010364773647228799,,0.0095146482590988,0.9717003703117371
DecisionTreeClassifier,-0.00032383329034570005,-0.0044009748095118,,-0.00092158059145625,0.09191805124282834
PassiveAggressiveClassifier,0.0032209465291292982,0.018200963122916698,,-0.007364008854796424,0.03284645080566405
Perceptron,-0.01000543472322585,0.012459589335965249,,-0.030006944677532024,0.0528315305709838
NuSVC,0.0161290322580645,0.01515151515151515,,0.02255131752367245,0.0029199123382568
LogisticRegression,0.000328459706291025,0.00024025244287200008,,0.0005459592208874284,0.0019946694374084247
LinearSVC,0.000515869116635525,0.0009879502989750249,,0.0010179776631069055,0.043274402618408175
LinearDiscriminantAnalysis,-0.010228928430863425,-0.00828074129731395,,-0.009638334112352074,0.018920481204986548
LGBMClassifier,-0.00014910564047147503,-0.00191930227875705,,0.000443513645604275,0.009463548660278324
XGBClassifier,-0.00013665071681489999,-0.0020844907888334335,,0.00017163490474983337,0.7642687956492108
RidgeClassifierCV,-0.010117328235354701,-0.009312809567278701,,-0.009687433952610399,0.024894833564758228
SGDClassifier,-0.0789658773633458,-0.08254822255482916,,-0.0921516352769757,0.1870544552803038
RidgeClassifier,-0.010117328235354701,-0.009312809567278701,,-0.009687433952610399,0.0071626305580138995
RandomForestClassifier,-0.001335632743531875,-0.001356668651417,,-0.001278366014528525,1.2768901586532593
KNeighborsClassifier,-0.0087664090171811,-0.0060629084044007495,,-0.011240994217817251,0.109375
BernoulliNB,0.004601574336202674,0.00942786206533525,,0.007586499589325376,0.022570431232452347
SVC,-0.00609979583556077,-0.00457021799908755,,-0.012277825794757101,146.30290377140045
LabelSpreading,0.001332037251461051,0.0038362404886878258,,0.0032363488870327745,34.50718313455582
LabelPropagation,0.0013264243591397506,0.003969570709697001,,0.003241841471678649,31.606660246849057
GaussianNB,0.09147324353765962,-0.003938693101880974,,0.083169834941377,0.004141688346862776
NearestCentroid,-0.014798386747925375,-0.00962179671739655,,-0.013736849535592673,0.010683774948120098
ExtraTreeClassifier,-0.015322311209085924,-0.0081644589779086,,-0.0122016060662449,0.01228827238082885
QuadraticDiscriminantAnalysis,0.19661464474998677,0.110887105641183,,0.22395412124802855,0.01247113943099975
DummyClassifier,0.0,0.0,,0.0,0.001817703247070275
