Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BaggingClassifier,0.8387096774193548,0.8316498316498316,,0.8333333333333334,0.0311605930328369
DecisionTreeClassifier,0.8387096774193548,0.8316498316498316,,0.8361933833842092,0.011824131011962849
CalibratedClassifierCV,0.7580645161290323,0.7626262626262625,,0.7400391006842619,0.036395788192749
LabelPropagation,0.8387096774193548,0.835016835016835,,0.8379032258064516,0.0124707221984863
ExtraTreesClassifier,0.8548387096774194,0.8501683501683501,,0.8515180265654649,0.1093405485153198
XGBClassifier,1.0,1.0,1.0,1.0,0.1114406585693359
SVC,0.7258064516129032,0.7289562289562289,,0.7037154939319625,0.012344837188720651
NuSVC,0.8064516129032258,0.8047138047138047,,0.7964568474775895,0.0143675804138183
LogisticRegression,0.7903225806451613,0.7895622895622896,,0.7886166253101737,0.01311850547790525
LinearSVC,0.7903225806451613,0.7895622895622896,,0.7886166253101737,0.01145517826080315
LabelSpreading,0.8387096774193548,0.835016835016835,,0.8379032258064516,0.0120257139205932
LGBMClassifier,0.7903225806451613,0.7895622895622896,,0.7843396257279329,0.1461720466613769
RandomForestClassifier,0.8548387096774194,0.8501683501683501,,0.8515180265654649,0.1281206607818603
RidgeClassifier,0.769489247311828,0.7687289562289561,,0.7677470600927825,0.011874675750732401
Perceptron,0.737231182795699,0.7384259259259258,,0.6843275673990962,0.0128782987594604
AdaBoostClassifier,0.7856182795698925,0.7838804713804712,,0.7864682582494644,0.09353113174438475
BernoulliNB,0.7856182795698925,0.7838804713804712,,0.786227208976157,0.013857603073120051
PassiveAggressiveClassifier,0.7049731182795699,0.6980218855218854,,0.6639952115828693,0.012264251708984299
KNeighborsClassifier,0.737231182795699,0.7384259259259258,,0.7181655225019069,0.01460850238800045
RidgeClassifierCV,0.769489247311828,0.7687289562289561,,0.7677470600927825,0.013903021812438899
LinearDiscriminantAnalysis,0.769489247311828,0.7687289562289561,,0.7677470600927825,0.0113385915756225
GaussianNB,0.73252688172043,0.7327441077441078,,0.7240782947123325,0.014086604118347099
NearestCentroid,0.7486559139784946,0.7478956228956231,,0.7484827000956034,0.0122125148773193
SGDClassifier,0.6196236559139785,0.6098484848484849,,0.5963204890273613,0.0124917030334472
ExtraTreeClassifier,0.7809139784946236,0.7714646464646464,,0.7717094102718226,0.0112171173095703
QuadraticDiscriminantAnalysis,0.700268817204301,0.7024410774410774,,0.6724452259681462,0.0108665227890014
DummyClassifier,0.3951612903225806,0.41666666666666663,,0.2319892473118279,0.010549426078796349
