Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7818803813914273,0.6517792470493493,,0.7612569391783207,2.018978536128998
BaggingClassifier,0.7825508438523464,0.6664802902386908,,0.766454919606885,3.515640139579773
DecisionTreeClassifier,0.7710433008300248,0.6842440492269061,,0.7713715767490643,0.6301105618476868
KNeighborsClassifier,0.7512672769813905,0.6286774833304429,,0.7316857465778752,0.5819069743156433
ExtraTreesClassifier,0.8049597829617199,0.6639575453029953,,0.7824039840670705,6.093956112861633
XGBClassifier,0.8407140358672259,0.6748868659030691,,0.816625703554187,1.5794687271118164
LGBMClassifier,0.7768506534485087,0.6537199165105015,,0.7560331606074441,0.6831936240196228
QuadraticDiscriminantAnalysis,0.7106099495801946,0.6254896797716752,,0.6842285144703923,0.18638026714324946
RandomForestClassifier,0.8074323429167998,0.6742184261094022,,0.7866267341130712,6.901839256286621
LogisticRegression,0.7637685667860638,0.6324598432363964,,0.7386476407682397,0.21402490139007568
LabelPropagation,0.7601913184919729,0.6563547504955106,,0.7566713007605295,125.45390003919601
RidgeClassifierCV,0.7505691751108179,0.603949881788882,,0.719839068801714,0.22049444913864133
RidgeClassifier,0.7505691751108179,0.603949881788882,,0.719839068801714,0.11130940914154049
SVC,0.7555820488912887,0.6230726666011676,,0.730075519262829,479.4652072191239
ExtraTreeClassifier,0.7478416316314873,0.6453098780554323,,0.7446277512413241,0.14291328191757197
CalibratedClassifierCV,0.7523142201683461,0.6209744116477314,,0.7257648134645258,2.196429133415222
LabelSpreading,0.7602674565322676,0.6561698546750596,,0.7566539335981046,154.3944531083107
LinearDiscriminantAnalysis,0.7590077117356289,0.6356173270342143,,0.7327578231466728,0.2088621854782104
LinearSVC,0.7515204777133079,0.6109479884606971,,0.7225534855727844,0.5304655432701111
NuSVC,0.7856182795698925,0.7838804713804712,,0.7747390007896566,0.01333570480346675
NearestCentroid,0.6591841695290818,0.6687634938786525,,0.6785925794138129,0.11208742856979365
GaussianNB,0.7262345766783028,0.6461204395867658,,0.7040222634725167,0.10461586713790891
PassiveAggressiveClassifier,0.6643857770974733,0.57865667847216,,0.6643242915912538,0.23059153556823728
Perceptron,0.6722084231513145,0.6076847080237984,,0.6530810657240487,0.310713529586792
BernoulliNB,0.6816344779243657,0.6117957670721346,,0.6759214339984604,0.11157041788101194
SGDClassifier,0.6405500074671798,0.50436166682115,,0.6041897414986247,0.6801417469978333
DummyClassifier,0.5641325863252368,0.41666666666666663,,0.4334983443365616,0.07824724912643427
