Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.024236337898922173,0.024479401785917974,,0.035178811170228245,0.2182143926620483
BaggingClassifier,-0.008292671761453674,-0.007881573487386924,,-0.008477966996274323,0.5954388380050659
CalibratedClassifierCV,-0.018288160493033077,-0.017572991609890627,,-0.01745645768423265,0.28386539220809937
ExtraTreesClassifier,0.007846928630336125,0.00959825543024105,,0.009617488219682524,1.0070715546607971
DecisionTreeClassifier,0.0081037360382849,0.008780216877159751,,0.009100388481740876,0.14704102277755735
PassiveAggressiveClassifier,-0.03455262077172955,-0.0010900462919596768,,-0.01576871603089765,0.004895091056823726
Perceptron,-0.044457451808170054,-0.02881548592548085,,-0.05473915160665048,0.11806970834732057
NuSVC,-0.004704301075268803,-0.005681818181818251,,0.0008334708357395498,0.0018880367279052001
LogisticRegression,-0.0078679945607902,-0.00757699069853205,,-0.007471137769324876,0.017030298709869378
LinearSVC,-0.0180291691213427,-0.0183424896847011,,-0.017459647502813924,0.007273137569427501
LinearDiscriminantAnalysis,-0.010427164463395375,-0.009146127242685976,,-0.009950162891025426,0.01500225067138665
LGBMClassifier,0.000118997889116375,-0.0012088097571307252,,0.0006034535323660749,0.00337380170822145
XGBClassifier,0.0004706998697617,-0.003188998707375667,,0.0003015521476042,0.8284452756245931
RidgeClassifierCV,-0.0181204313743113,-0.01675206132044825,,-0.017298952443883672,0.028547525405883727
SGDClassifier,-0.12143936740797633,-0.11880175817311615,,-0.12722312468954017,0.02571642398834227
RidgeClassifier,-0.0181204313743113,-0.01675206132044825,,-0.017298952443883672,0.011184692382812448
RandomForestClassifier,-0.0005962344104202247,-0.00027748222254615,,0.0002911125177522,1.2872930765151978
KNeighborsClassifier,0.01003412132691125,0.012126927238334076,,0.01075322544223455,-0.00918060541152955
BernoulliNB,-0.05539771235211376,-0.04861840835428435,,-0.05207163575258918,-0.00814855098724365
SVC,0.00840175916776213,0.009083473497663475,,0.011601092729430326,168.8138701319695
LabelSpreading,-0.000332358134322425,0.0023176045970381,,5.2503622027800004e-05,33.55381500720978
LabelPropagation,-0.00019619274278347498,0.0028399553097075746,,0.00024583805763130003,27.874957203865048
GaussianNB,0.10121537967936803,0.001230374855228424,,0.0954288013414582,0.0025469660758972003
NearestCentroid,-0.017503188914923824,-0.0111180679470471,,-0.0159717451540764,0.017516374588012626
ExtraTreeClassifier,0.00697225515556705,0.007261008845607499,,0.010300208520968825,0.015467822551727226
QuadraticDiscriminantAnalysis,0.20061197250719362,0.12561869600545914,,0.23946885723856196,0.0305045247077941
DummyClassifier,0.0,0.0,,0.0,0.004141747951507501
