Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.8064516129032258,0.8047138047138047,,0.8073378234668558,0.11565387248992914
BaggingClassifier,0.8225806451612903,0.8164983164983165,,0.8158986175115207,0.03562498092651365
DecisionTreeClassifier,0.8548387096774194,0.8535353535353536,,0.8548387096774194,0.01184010505676265
KNeighborsClassifier,0.7741935483870968,0.7744107744107744,,0.7618480590616813,0.0135518312454223
ExtraTreesClassifier,0.8548387096774194,0.8501683501683501,,0.8515180265654649,0.1121367216110229
XGBClassifier,1.0,1.0,1.0,1.0,0.1085894107818603
LGBMClassifier,0.7903225806451613,0.7895622895622896,,0.7843396257279329,0.12731158733367914
QuadraticDiscriminantAnalysis,0.7258064516129032,0.7289562289562289,,0.7042050691244239,0.01182401180267325
RandomForestClassifier,0.8548387096774194,0.8501683501683501,,0.8515180265654649,0.14706540107727045
LogisticRegression,0.7741935483870968,0.7744107744107744,,0.7733690250293666,0.01280868053436275
LabelPropagation,0.834005376344086,0.8293350168350168,,0.8306484613480736,0.012801527976989701
RidgeClassifierCV,0.7533602150537635,0.753577441077441,,0.7524994598119752,0.01274693012237545
RidgeClassifier,0.7533602150537635,0.753577441077441,,0.7524994598119752,0.012964606285095149
SVC,0.7533602150537635,0.753577441077441,,0.7480268694175832,0.01268970966339105
ExtraTreeClassifier,0.8178763440860215,0.8108164983164983,,0.8130364656381486,0.01170372962951655
CalibratedClassifierCV,0.7533602150537635,0.7569444444444443,,0.7534706107356879,0.0390757322311401
LabelSpreading,0.834005376344086,0.8293350168350168,,0.8306484613480736,0.012361288070678648
LinearDiscriminantAnalysis,0.769489247311828,0.7687289562289561,,0.767890035397048,0.011953830718994099
LinearSVC,0.7533602150537635,0.753577441077441,,0.7524994598119752,0.011938333511352501
NuSVC,0.7856182795698925,0.7838804713804712,,0.7747390007896566,0.01333570480346675
NearestCentroid,0.7486559139784946,0.7478956228956231,,0.7484827000956034,0.01221930980682365
GaussianNB,0.7486559139784946,0.7478956228956231,,0.7468015586563974,0.012282371520996049
PassiveAggressiveClassifier,0.6518817204301075,0.646885521885522,,0.6494879314234152,0.012687325477600049
Perceptron,0.6633064516129032,0.6563552188552189,,0.6222560811480868,0.01239097118377685
BernoulliNB,0.67002688172043,0.6668771043771043,,0.6693335040109234,0.01259851455688475
SGDClassifier,0.5362903225806451,0.5366161616161615,,0.529902594723979,0.013255119323730451
DummyClassifier,0.3951612903225806,0.41666666666666663,,0.2319892473118279,0.0121974945068359
