Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,-0.017895490336435227,-0.006883925043309702,-0.006883925043309702,-0.013707698054156059,-0.012905359268188504
BernoulliNB,-0.014244810307802447,-0.001701123932466908,-0.001701123932466797,-0.009406369942187354,0.009144067764282199
GaussianNB,0.010737294201861092,-0.008458453706383762,-0.008458453706383762,0.006547156095151108,0.017408370971679715
Perceptron,-0.09384395132426615,0.08635948263094473,0.08635948263094473,-0.057227552933246106,0.036509513854980497
DecisionTreeClassifier,-0.0027201145311381847,-0.012032619176233439,-0.012032619176233328,-0.002778856188315415,0.13371920585632324
LGBMClassifier,-0.0014316392269148048,-0.008581822640027603,-0.008581822640027603,-0.0021887440533852054,0.02016305923461914
QuadraticDiscriminantAnalysis,0.00028632784538296097,0.02726153845208401,0.027261538452084122,0.002621233106331,-0.003004074096679632
BaggingClassifier,-0.000715819613457569,-0.005898970829623096,-0.005898970829622985,-0.001242776562815795,0.7497341632843018
XGBClassifier,0.0005726556907659219,-0.007042630035157926,-0.007042630035157926,-0.0005559150068188412,2.046611547470093
LinearDiscriminantAnalysis,0.0003579098067287845,0.006165604434030136,0.006165604434030136,0.0010578272527892452,0.02015852928161621
ExtraTreeClassifier,-0.01846814602720115,-0.0012196317306740756,-0.0012196317306740756,-0.011412243627265228,0.020711660385131808
CalibratedClassifierCV,0.0008589835361487719,0.007813877914226164,0.007813877914226053,0.0017743028220910118,-0.021810293197631836
LogisticRegression,0.000429491768074608,-0.0020658535071498285,-0.0020658535071499395,-3.37231068154864e-05,-0.002226591110229492
AdaBoostClassifier,-0.000429491768074608,0.004363081378020217,0.004363081378020217,0.000390685124554091,0.41457200050354004
RandomForestClassifier,-0.000429491768074608,-0.0016097110862427488,-0.0016097110862427488,-0.0005544213217120175,1.623950481414795
PassiveAggressiveClassifier,-0.019398711524695744,0.026764682746724056,0.026764682746724056,-0.008840565714780535,0.0276515483856202
SVC,7.158196134582351e-05,0.0014168991164756894,0.0014168991164755784,0.00028739123944332423,24.911184072494507
SGDClassifier,-0.0010737294201860204,-0.0010378814834753891,-0.001037881483475278,-0.0008716076116792593,0.08756017684936529
LabelSpreading,-0.0015748031496064518,0.004664974223113738,0.004664974223113738,-0.00035452548631720315,48.0633749961853
LabelPropagation,-0.0016463851109520533,0.005085857403334448,0.005085857403334337,-0.0003419288756389971,39.62559032440184
KNeighborsClassifier,0.0010737294201863534,0.007010673947738244,0.007010673947738244,0.001774401906441403,0.1893007755279541
LinearSVC,0.0,0.0004594455741740999,0.0004594455741740999,8.859308452602299e-05,0.1043386459350586
ExtraTreesClassifier,0.0009305654974945954,0.007392994734005454,0.007392994734005676,0.0020768217072515416,1.419574499130249
RidgeClassifierCV,0.00021474588403724848,0.0019534694785565687,0.0019534694785565687,0.0005744271996842576,0.017161846160888672
RidgeClassifier,0.00021474588403724848,0.0019534694785565687,0.0019534694785565687,0.0005744271996842576,0.011218309402465793
DummyClassifier,0.0,0.0,0.0,0.0,0.012150764465332003
