Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0801615715026856
BaggingClassifier,0.0,0.0,0.0,0.0,0.0022439956665038993
CalibratedClassifierCV,0.0,0.0,0.0,0.0,0.0006153583526612022
ExtraTreesClassifier,0.0,0.0,0.0,0.0,0.0183584690093994
DecisionTreeClassifier,0.0,0.0,0.0,0.0,0.0013971328735351996
PassiveAggressiveClassifier,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.00033068656921390015
Perceptron,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0011706352233886996
NuSVC,0.0,0.0,0.0,0.0,0.0018346309661865009
LogisticRegression,0.0,0.0,0.0,0.0,0.0003113746643066996
LinearSVC,0.0,0.0,0.0,0.0,0.0004200935363769011
LinearDiscriminantAnalysis,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,-0.0008022785186767994
LGBMClassifier,0.0,0.0,0.0,0.0,0.008190631866455106
XGBClassifier,0.0,0.0,0.0,0.0,0.05093383789062499
RidgeClassifierCV,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0014274120330809992
SGDClassifier,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08391608391608396,0.000914573669433599
RidgeClassifier,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,-0.0008220672607421996
RandomForestClassifier,0.0,0.0,0.0,0.0,0.0020432472229003074
KNeighborsClassifier,0.0,0.0,0.0,0.0,-0.0003881454467773004
BernoulliNB,0.0,0.0,0.0,0.0,0.0019981861114502005
SVC,0.04166666666666663,0.04166666666666685,0.04166666666666685,0.04173913043478261,0.0007588863372802995
LabelSpreading,0.04166666666666663,0.04166666666666685,0.04166666666666685,0.04173913043478261,0.00010704994201659983
LabelPropagation,0.04166666666666663,0.04166666666666685,0.04166666666666685,0.04173913043478261,-0.001199483871459999
GaussianNB,0.0,0.0,0.0,0.0,0.0009725093841551988
NearestCentroid,0.0,0.0,0.0,0.0,0.000952243804931599
ExtraTreeClassifier,0.0,0.0,0.0,0.0,-0.00014114379882809898
QuadraticDiscriminantAnalysis,0.375,0.375,0.3749999999999998,0.49688644688644684,0.00012969970703120143
DummyClassifier,0.0,0.0,0.0,0.0,0.00039339065551759894
