Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,-0.02419470293486048,-0.011196306859558636,-0.011196306859558525,-0.018583699471592996,0.01564311981201169
BernoulliNB,-0.023550465282748734,-0.0007414426821481523,-0.0007414426821481523,-0.015486644843470287,-0.009873628616333008
GaussianNB,0.01725125268432348,-0.01827319750767098,-0.01827319750767098,0.010211066691910742,0.006099462509155301
Perceptron,-0.06120257695060827,0.059837159152991704,0.059837159152991704,-0.03688074211390058,0.0363008975982666
DecisionTreeClassifier,0.0030064423765210346,-0.00021816175065270116,-0.00021816175065281218,0.001912314959928385,0.17706012725830078
LGBMClassifier,-0.0011453113815319549,-0.006130345193343656,-0.006130345193343545,-0.0016485429269563756,-0.010568857192993164
QuadraticDiscriminantAnalysis,-0.0011453113815318439,0.025571399424667574,0.025571399424667574,0.001552140583554018,0.021230936050415095
BaggingClassifier,0.0017895490336433673,0.005558515590576185,0.005558515590576185,0.0019441043221706256,0.8612773418426514
XGBClassifier,0.000429491768074608,-0.010335873842283183,-0.010335873842283183,-0.0011238833687592376,1.4732716083526611
LinearDiscriminantAnalysis,-0.0010737294201860204,0.0026376831099172993,0.0026376831099172993,-0.00040577655577556104,0.012554883956909124
ExtraTreeClassifier,0.0007158196134574579,-0.01523552558238439,-0.01523552558238439,-0.001276295755618051,0.013002872467041016
CalibratedClassifierCV,-0.0003579098067287845,-0.007543941156552214,-0.007543941156552325,-0.0014392378156740104,-0.44667601585388184
LogisticRegression,0.0,-0.0022972278708703886,-0.0022972278708703886,-0.00036218350514583,-0.006776571273803711
AdaBoostClassifier,0.0008589835361489939,0.005057204469181675,0.005057204469181786,0.001370228359780401,0.4340240955352783
RandomForestClassifier,7.158196134560146e-05,-0.001339774328568799,-0.001339774328568688,-0.00017323083276521434,1.561189889907837
PassiveAggressiveClassifier,-0.02584108804581242,0.048563573870490484,0.048563573870490484,-0.010776501521650439,0.014049768447876004
SVC,7.158196134582351e-05,0.002795235838997878,0.002795235838997878,0.0005182069806135559,22.553913354873657
SGDClassifier,7.158196134571249e-05,-0.002258665476916999,-0.002258665476916999,-0.0003604937563588262,0.07248735427856451
LabelSpreading,0.0009305654974945954,0.011068559327398142,0.011068559327398142,0.0019239989245992684,41.79286766052246
LabelPropagation,0.0007874015748031704,0.012369771262013551,0.01236977126201344,0.0019964287012743664,35.41037559509276
KNeighborsClassifier,0.0010737294201863534,0.007470119521912344,0.007470119521912344,0.0018455907949720407,0.014512777328491211
LinearSVC,-0.0005010737294199874,-0.004864392499414616,-0.004864392499414727,-0.0012557488455675614,0.04083371162414551
ExtraTreesClassifier,0.00035790980672856243,0.0038683765631596367,0.0038683765631597478,0.0010173756197603412,1.2267556190490723
RidgeClassifierCV,0.00021474588403724848,0.0024129150527306686,0.0024129150527305576,0.0006830259537505823,0.014834642410278265
RidgeClassifier,0.00021474588403724848,0.0024129150527306686,0.0024129150527305576,0.0006830259537505823,0.014005899429321317
DummyClassifier,0.0,0.0,0.0,0.0,0.0030462741851805947
