Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelSpreading,0.0,0.0,,0.0,-0.0016942024230958003
LabelPropagation,0.0,0.0,,0.0,0.000330924987793
RandomForestClassifier,0.0,0.0,,0.0,0.011271953582763616
ExtraTreesClassifier,0.032258064516129115,0.030303030303030276,,0.028751753155680237,0.00013017654418950864
BaggingClassifier,-0.032258064516129004,-0.03703703703703709,,-0.03575494714014649,-0.008889913558959996
DecisionTreeClassifier,0.032258064516129115,0.03703703703703698,,0.03539311937958922,-0.0008580684661865009
ExtraTreeClassifier,0.0,0.006734006734006703,,0.01020436786215173,-0.00041985511779790013
NearestCentroid,-0.032258064516129004,-0.030303030303030276,,-0.03331206427980615,-0.0014736652374267994
GaussianNB,-0.032258064516129004,-0.030303030303030276,,-0.036674347158218046,-0.0002875328063964011
CalibratedClassifierCV,-0.032258064516129115,-0.023569023569023684,,-0.0322011322011323,0.0011906623840332031
LGBMClassifier,0.0,0.0,,0.001410946284334913,0.017642259597778293
RidgeClassifierCV,-0.032258064516129115,-0.030303030303030387,,-0.034143434048557464,0.00036716461181640105
RidgeClassifier,-0.032258064516129115,-0.030303030303030387,,-0.034143434048557464,0.00039839744567870053
LinearDiscriminantAnalysis,0.0,0.0,,-0.003362282878411893,0.00027966499328619873
LinearSVC,-0.032258064516129115,-0.030303030303030387,,-0.034143434048557464,-8.392333984379857e-05
LogisticRegression,-0.032258064516129115,-0.030303030303030387,,-0.034143434048557464,-0.0007836818695068012
NuSVC,0.032258064516129004,0.030303030303030387,,0.043406072106261795,0.0010402202606200998
BernoulliNB,-0.032258064516129115,-0.030303030303030276,,-0.02782141187470777,-0.006536483764648401
KNeighborsClassifier,0.0,0.0,,0.0,-0.00028967857360840017
SGDClassifier,-0.2258064516129032,-0.21885521885521886,,-0.22913490271794046,0.002137422561645501
SVC,0.032258064516129004,0.030303030303030276,,0.039860693918418955,0.0006268024444579991
AdaBoostClassifier,0.09677419354838712,0.09090909090909094,,0.13494326454805428,0.022429704666137695
Perceptron,-0.032258064516129115,-0.057239057239057256,,-0.10856822450533221,0.0001161098480224991
QuadraticDiscriminantAnalysis,-0.032258064516129115,-0.03030303030303033,,-0.02043672864028817,0.0004203319549559992
PassiveAggressiveClassifier,0.0,0.006734006734006703,,0.04073009050937748,0.0008032321929931988
DummyClassifier,0.0,0.0,,0.0,7.963180541989932e-05
