age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
54,Private,42,8,Prof school degree (MD DDS DVM LLB JD),0,Not in universe,Widowed, oTher profeSsional seRvices,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,13,0,4,Single,Not in universe,Pennsylvania,Nonfamily householder,Householder,Not in universe under 1 year old,2,Not in universe,Nicaragua,Cuba,Philippines,Foreign born- Not a citizen of U S,0,Not in universe,2,52,95,1
49,Not in universe,0,0,10th grade,0,Not in universe,Married-civilian spouse present, nOt In univerSe Or chiLdren,Not in universe,Black,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,4,Joint both under 65,Not in universe,Virginia,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
60, Private,12,3, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present,  manufacturinG-durable goOds, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,14608,0,1803, Joint both under 65, Not in universe,Delaware, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
38, Private,44,25, High school graduate,489, Not in universe, Married-civilian spouse present,  retAil trAde, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,0,1,4, Joint both under 65, Not in universe,Utah, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
59, Not in universe,29,0, 12th grade no diploma,0, Not in universe, Married-civilian spouse present,  nOt In univeRse Or chiLdren, Not in universe, White, Puerto Rican, Male, Not in universe, Not in universe, Not in labor force,3,0,2, Joint both under 65, Not in universe,North Carolina, Householder, Householder, Not in universe under 1 year old,6, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,3,95,0
25,Private,42,25,Some college but no degree,0,Not in universe,Married-civilian spouse present, hosPital servIces,Other service,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,0,5,Joint both under 65,Not in universe,Utah,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,18,95,0
80, Not in universe,0,0, High school graduate,0, Not in universe, Divorced,  nOt In univErse Or chilDren, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,6, Single, Not in universe,Colorado, Nonfamily householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Yes,2,0,95,0
59, Not in universe,0,0, 9th grade,0, Not in universe, Widowed,  nOt In uniVerse Or childrEn, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,7, Nonfiler, Not in universe,Arkansas, Spouse of householder, Other relative of householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
16,Not in universe,0,0,Children,0,Not in universe,Never married, nOt In unIverse Or cHildren,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,6,0,7,Nonfiler,Not in universe,New York,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
68,Not in universe,0,0,10th grade,0,Not in universe,Married-civilian spouse present, nOt In univErse Or chIldren,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,0,0,159,Joint both under 65,Not in universe,Louisiana,Spouse of householder,Spouse of householder,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,12,95,1
32,Local government,44,26,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present, educaTion,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,6,Joint both under 65,Not in universe,Illinois,Spouse of householder,Spouse of householder,No,6,Not in universe,Portugal,China, Holand-Netherlands,Foreign born- U S citizen by naturalization,2,Not in universe,2,19,94,0
53, Private,29,25, High school graduate,0, Not in universe, Widowed,  meDical eXcept hOspital, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, PT for non-econ reasons usually FT,0,0,7, Joint both under 65, Not in universe,North Carolina, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,1,52,95,1
53, Not in universe,0,0, Children,0, Not in universe, Never married,  nOt In univerSe Or chiLdren, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Nonfiler, Not in universe,North Dakota, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
51, State government,42,10, High school graduate,0, Not in universe, Married-civilian spouse present,  educaTion, Professional specialty, White, All other, Female, No, Not in universe, Full-time schedules,0,1,1856, Joint both under 65, Not in universe,Oregon, Householder, Spouse of householder, Not in universe under 1 year old,2, Not in universe, Cuba, ?, Germany, Native- Born abroad of American Parent(s),2, Not in universe,2,52,95,1
24,Private,11,31,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present, manufacturinG-durable gOods,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,4,Joint both under 65,Not in universe,Louisiana,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,48,95,0
60, Private,23,32, High school graduate,0, Not in universe, Divorced,  manufaCturing-durable gooDs, Machine operators assmblrs & inspctrs, Other, All other, Male, No, Not in universe, Children or Armed Forces,0,0,1, Head of household, South,Nebraska, Householder, Householder, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
30,Private,29,37,10th grade,0,Not in universe,Separated, retaIl tRade,Transportation and material moving,White,All other,Male,Not in universe,New entrant,Unemployed full-time,6,0,7,Nonfiler,Not in universe,Idaho,Householder,Other relative of householder,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,18,95,0
16, Not in universe,0,0, High school graduate,0, College or university, Never married,  nOt In uniVerse Or chilDren, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,2, Nonfiler, Not in universe,Nevada, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,13,95,0
78,Not in universe,0,0,High school graduate,0,Not in universe,Never married, nOt In univeRse Or chIldren,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,8,0,4,Nonfiler,Not in universe,Rhode Island,Other Rel 18+ never marr not in subfamily,Child 18 or older,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
2, Not in universe,0,0, Children,0, Not in universe, Married-civilian spouse present,  nOt In unIverse Or childRen, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Nonfiler, Not in universe,Kentucky, Other Rel 18+ ever marr not in subfamily, Other relative of householder, Yes,0, Not in universe, ?, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
47, Private,30,39, High school graduate,1647, Not in universe, Married-civilian spouse present,  transPortation, Transportation and material moving, White, Other Spanish, Male, Yes, Other job loser, PT for econ reasons usually PT,5,0,1, Joint both under 65, Not in universe,South Dakota, Householder, Householder, Yes,5, Not in universe, United-States, Mexico, United-States, Foreign born- Not a citizen of U S ,0, Not in universe,2,49,94,0
54,Private,32,16,High school graduate,0,Not in universe,Married-civilian spouse present, retaIl trAde,Sales,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint both under 65,Not in universe,Alaska,Householder,Householder,No,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
21, Not in universe,0,0, High school graduate,1, College or university, Never married,  nOt In uNiverse Or chilDren, Not in universe, Black, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,6, Nonfiler, Not in universe,Georgia, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,0, Not in universe, United-States, ?, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
65,Private,29,37,High school graduate,1,Not in universe,Married-civilian spouse present, manufactuRing-nondurable goOds,Precision production craft & repair,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,3,Joint both under 65,Not in universe,Alaska,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
56, Private,33,37, High school graduate,0, Not in universe, Married-civilian spouse present,  rEtail traDe, Sales, White, All other, Male, Not in universe, Not in universe, Full-time schedules,1,0,6, Joint both under 65, Not in universe,West Virginia, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
68, Not in universe,0,0, Some college but no degree,0, Not in universe, Widowed,  nOt In univErse Or chIldren, Technicians and related support, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,9, Single, Not in universe,Connecticut, Nonfamily householder, Householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,1,0,94,0
15,Private,33,30,High school graduate,506,Not in universe,Never married, reTail tRade,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,9,0,2,Single,Not in universe,Connecticut,Child 18+ never marr Not in a subfamily,Group Quarters- Secondary individual,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,19,94,0
36, Private,43,37, Some college but no degree,0, Not in universe, Married-civilian spouse present,  manufacturing-Durable gooDs, Other service, White, All other, Female,Yes,Re-entrant, Children or Armed Forces,4,0,2, Joint both under 65, Not in universe,Ohio, Householder, Householder, Yes,5, Not in universe, Scotland, Thailand,Canada, Foreign born- U S citizen by naturalization,0, Not in universe,2,42,94,0
1,Not in universe,0,0,Children,1,Not in universe,Never married, nOt In univerSe Or cHildren,Not in universe,White,Mexican-American,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,5,Nonfiler,Not in universe,Alabama,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,Dominican-Republic,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
29, State government,30,3, High school graduate,0, Not in universe, Married-civilian spouse present,  pubLic administratIon, Other service, White, All other, Male, Not in universe, New entrant, Children or Armed Forces,0,0,0, Joint both under 65, South,Nevada, Spouse of householder, Spouse of householder, No,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,38,94,0
15, Not in universe,0,0, 9th grade,0, Not in universe, Never married,  nOt In uNiverse Or chIldren, Not in universe, Other, Mexican (Mexicano), Male, Not in universe, New entrant, Not in labor force,7,0,3, Nonfiler, Not in universe,Montana, RP of unrelated subfamily, Other relative of householder, Not in universe under 1 year old,0,Father only present, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,95,0
