parents,has_nurs,form,children,housing,finance,social,health,class
great_pret,critical,complete,1,convenient,convenient,nonprob, recommEnded,recommend
great_pret,improper,complete,more,less_conv,convenient,slightly_prob, reCommended,recommend
pretentious,very_crit,completed,2,less_conv,convenient,slightly_prob, priorIty,recommend
pretentious,proper,completed,3,critical,convenient,slightly_prob,noT_reCom,not_recommend
great_pret,improper,complete,more,convenient,convenient,slightly_prob, pRiority,recommend
great_pret,very_crit,completed,3,critical,convenient,problematic, recommendEd,recommend
great_pret,less_proper,completed,more,less_conv,convenient,nonprob,noT_rEcom,not_recommend
pretentious,critical,completed,2,less_conv,convenient,slightly_prob, prIority,recommend
great_pret,very_crit,complete,1,critical,convenient,problematic,noT_reCom,not_recommend
usual,very_crit,incomplete,more,less_conv,convenient,problematic,noT_rEcom,not_recommend
usual,less_proper,foster,2,convenient,convenient,nonprob, pRiority,recommend
pretentious,proper,complete,more,critical,inconv,problematic,noT_Recom,not_recommend
usual,critical,incomplete,more,convenient,inconv,nonprob,noT_recOm,not_recommend
pretentious,very_crit,complete,more,critical,convenient,problematic, recommeNded,recommend
great_pret,proper,incomplete,2,less_conv,inconv,problematic,noT_reCom,not_recommend
usual,very_crit,foster,more,less_conv,inconv,slightly_prob, prIority,recommend
pretentious,critical,completed,2,convenient,convenient,nonprob, reCommended,recommend
great_pret,very_crit,incomplete,1,convenient,convenient,slightly_prob,noT_reCom,not_recommend
great_pret,critical,foster,2,convenient,inconv,nonprob, priorIty,recommend
great_pret,very_crit,incomplete,more,less_conv,convenient,nonprob, prioriTy,recommend
pretentious,improper,completed,3,convenient,inconv,nonprob, recommendEd,recommend
usual,less_proper,incomplete,1,convenient,convenient,problematic, pRiority,not_recommend
great_pret,improper,incomplete,1,convenient,inconv,slightly_prob, recommEnded,recommend
great_pret,very_crit,incomplete,more,critical,convenient,nonprob, priorIty,recommend
pretentious,proper,foster,1,convenient,convenient,problematic, prioriTy,recommend
great_pret,improper,completed,2,critical,convenient,problematic, prioriTy,recommend
great_pret,less_proper,completed,more,convenient,convenient,problematic,noT_reCom,not_recommend
usual,proper,complete,more,less_conv,convenient,slightly_prob,noT_Recom,not_recommend
usual,critical,completed,1,less_conv,convenient,slightly_prob, recommendEd,recommend
usual,critical,complete,2,convenient,inconv,problematic, pRiority,not_recommend
pretentious,less_proper,incomplete,1,critical,inconv,nonprob,noT_rEcom,not_recommend
great_pret,improper,completed,2,less_conv,inconv,slightly_prob, recommEnded,recommend
great_pret,less_proper,complete,more,critical,inconv,slightly_prob,noT_reCom,not_recommend
usual,critical,incomplete,more,convenient,inconv,slightly_prob,noT_rEcom,not_recommend
usual,less_proper,foster,more,critical,inconv,slightly_prob,noT_Recom,not_recommend
great_pret,less_proper,completed,more,critical,convenient,problematic,noT_Recom,not_recommend
great_pret,very_crit,completed,more,less_conv,convenient,nonprob, reCommended,recommend
great_pret,very_crit,incomplete,more,critical,convenient,slightly_prob, priorIty,recommend
pretentious,less_proper,foster,1,less_conv,inconv,nonprob,noT_recOm,not_recommend
great_pret,proper,incomplete,1,critical,inconv,slightly_prob, recommenDed,recommend
usual,proper,completed,2,critical,inconv,slightly_prob, pRiority,recommend
great_pret,proper,completed,more,less_conv,inconv,slightly_prob, recommendEd,not_recommend
pretentious,very_crit,incomplete,3,less_conv,convenient,problematic,noT_Recom,not_recommend
usual,improper,incomplete,3,convenient,convenient,problematic,noT_recOm,not_recommend
pretentious,less_proper,completed,1,convenient,convenient,slightly_prob, recOmmended,not_recommend
pretentious,improper,foster,1,convenient,convenient,nonprob, prioriTy,recommend
great_pret,critical,incomplete,more,convenient,inconv,slightly_prob, prioRity,recommend
usual,proper,incomplete,1,convenient,inconv,slightly_prob, recoMmended,recommend
usual,critical,foster,more,convenient,inconv,problematic,noT_Recom,not_recommend
great_pret,improper,incomplete,3,critical,inconv,slightly_prob, recommendEd,recommend
pretentious,critical,complete,2,convenient,convenient,problematic, priorIty,recommend
usual,proper,completed,2,less_conv,convenient,slightly_prob, prIority,recommend
pretentious,improper,complete,2,convenient,inconv,nonprob, recomMended,recommend
great_pret,very_crit,completed,more,convenient,convenient,slightly_prob, prIority,recommend
usual,very_crit,foster,2,convenient,convenient,slightly_prob, prIority,recommend
usual,very_crit,incomplete,more,less_conv,inconv,slightly_prob,noT_reCom,not_recommend
pretentious,less_proper,complete,more,less_conv,convenient,nonprob, priorIty,recommend
pretentious,improper,completed,2,less_conv,convenient,problematic, priOrity,recommend
pretentious,critical,completed,1,convenient,inconv,slightly_prob, recommendEd,recommend
great_pret,very_crit,incomplete,1,convenient,inconv,slightly_prob, recommenDed,recommend
great_pret,proper,complete,2,critical,convenient,slightly_prob,noT_Recom,not_recommend
great_pret,critical,foster,more,convenient,convenient,nonprob, pRiority,recommend
usual,improper,incomplete,2,convenient,convenient,slightly_prob, priOrity,recommend
pretentious,improper,foster,2,convenient,convenient,slightly_prob, prioriTy,recommend
great_pret,critical,incomplete,2,less_conv,inconv,slightly_prob, recommendEd,recommend
pretentious,very_crit,foster,3,convenient,inconv,nonprob, prIority,recommend
great_pret,improper,incomplete,more,less_conv,convenient,problematic, pRiority,not_recommend
pretentious,critical,incomplete,1,convenient,inconv,slightly_prob, prIority,recommend
pretentious,less_proper,incomplete,more,less_conv,inconv,slightly_prob,noT_recOm,not_recommend
pretentious,critical,completed,more,critical,inconv,slightly_prob,noT_Recom,not_recommend
pretentious,proper,incomplete,2,convenient,convenient,problematic,noT_Recom,not_recommend
pretentious,improper,incomplete,2,convenient,convenient,slightly_prob,noT_Recom,not_recommend
usual,critical,completed,more,less_conv,convenient,problematic, rEcommended,recommend
pretentious,critical,complete,1,convenient,convenient,nonprob, recommeNded,recommend
pretentious,critical,incomplete,2,critical,convenient,nonprob,noT_recOm,not_recommend
usual,proper,complete,more,critical,convenient,nonprob, prioriTy,recommend
great_pret,proper,complete,2,convenient,inconv,nonprob, reCommended,recommend
great_pret,critical,foster,more,convenient,convenient,problematic, prioRity,recommend
great_pret,critical,complete,1,convenient,convenient,slightly_prob,noT_reCom,not_recommend
pretentious,very_crit,foster,more,critical,convenient,slightly_prob, prioriTy,recommend
great_pret,proper,complete,1,convenient,convenient,slightly_prob,noT_reCom,not_recommend
pretentious,less_proper,complete,2,convenient,convenient,problematic,noT_reCom,not_recommend
great_pret,improper,incomplete,3,less_conv,convenient,problematic,noT_reCom,not_recommend
great_pret,critical,incomplete,more,convenient,inconv,problematic, recommenDed,recommend
usual,critical,foster,1,convenient,inconv,slightly_prob, recommEnded,recommend
pretentious,less_proper,incomplete,more,convenient,convenient,slightly_prob, priOrity,recommend
pretentious,proper,incomplete,2,less_conv,inconv,nonprob,noT_Recom,not_recommend
great_pret,proper,complete,more,less_conv,inconv,slightly_prob,noT_rEcom,not_recommend
usual,less_proper,complete,2,convenient,convenient,problematic,noT_recOm,not_recommend
pretentious,critical,incomplete,3,critical,inconv,problematic, recOmmended,recommend
pretentious,proper,completed,more,convenient,convenient,nonprob, pRiority,not_recommend
great_pret,proper,incomplete,2,convenient,convenient,slightly_prob, prioRity,recommend
pretentious,proper,incomplete,1,less_conv,convenient,problematic, prIority,recommend
great_pret,critical,incomplete,more,less_conv,inconv,slightly_prob, priOrity,recommend
pretentious,critical,incomplete,1,convenient,convenient,nonprob,noT_rEcom,not_recommend
great_pret,critical,completed,3,convenient,inconv,slightly_prob, prioriTy,recommend
pretentious,critical,foster,1,less_conv,convenient,slightly_prob, pRiority,recommend
usual,proper,foster,1,convenient,inconv,slightly_prob,noT_recOm,not_recommend
pretentious,proper,foster,more,critical,convenient,slightly_prob, reCommended,recommend
pretentious,improper,incomplete,1,less_conv,convenient,problematic, rEcommended,recommend
great_pret,proper,completed,2,convenient,inconv,slightly_prob, reCommended,recommend
usual,improper,foster,1,critical,convenient,nonprob, priOrity,recommend
usual,very_crit,foster,1,convenient,convenient,slightly_prob, prioriTy,recommend
pretentious,very_crit,incomplete,more,critical,convenient,nonprob, recommEnded,recommend
usual,improper,completed,2,convenient,inconv,nonprob, prioRity,recommend
pretentious,proper,incomplete,2,convenient,inconv,problematic, recommenDed,recommend
pretentious,less_proper,completed,2,convenient,inconv,slightly_prob,noT_recOm,not_recommend
great_pret,less_proper,completed,2,critical,convenient,problematic,noT_recOm,not_recommend
usual,proper,complete,more,convenient,convenient,problematic, recOmmended,recommend
usual,improper,incomplete,3,convenient,convenient,slightly_prob, pRiority,recommend
pretentious,critical,complete,2,critical,convenient,slightly_prob, pRiority,recommend
pretentious,critical,foster,2,convenient,inconv,nonprob, prioriTy,recommend
great_pret,critical,incomplete,2,critical,convenient,problematic,noT_reCom,not_recommend
usual,less_proper,complete,2,convenient,inconv,slightly_prob,noT_recOm,not_recommend
great_pret,very_crit,completed,more,convenient,inconv,slightly_prob, priorIty,recommend
great_pret,very_crit,completed,1,less_conv,convenient,nonprob, prioriTy,recommend
usual,proper,incomplete,more,less_conv,inconv,slightly_prob, priorIty,recommend
great_pret,less_proper,incomplete,more,convenient,inconv,slightly_prob,noT_recOm,not_recommend
great_pret,proper,complete,2,convenient,inconv,slightly_prob, pRiority,recommend
pretentious,proper,completed,more,convenient,convenient,nonprob, prIority,recommend
pretentious,improper,complete,more,convenient,convenient,nonprob, prioriTy,recommend
great_pret,less_proper,completed,1,convenient,convenient,slightly_prob,noT_recOm,not_recommend
great_pret,critical,foster,2,convenient,convenient,slightly_prob, recommeNded,recommend
pretentious,proper,foster,2,less_conv,convenient,slightly_prob, recommEnded,recommend
great_pret,proper,completed,3,less_conv,convenient,problematic, pRiority,recommend
usual,critical,incomplete,2,convenient,convenient,slightly_prob, recommEnded,recommend
pretentious,proper,incomplete,more,critical,convenient,slightly_prob,noT_recOm,not_recommend
usual,critical,completed,2,critical,convenient,nonprob,noT_Recom,not_recommend
pretentious,very_crit,incomplete,2,less_conv,convenient,slightly_prob, prioriTy,recommend
pretentious,very_crit,foster,more,less_conv,inconv,problematic,noT_reCom,not_recommend
great_pret,very_crit,foster,1,convenient,inconv,problematic,noT_reCom,not_recommend
great_pret,improper,completed,more,critical,inconv,slightly_prob,noT_recOm,not_recommend
great_pret,less_proper,foster,2,less_conv,inconv,nonprob, recommEnded,recommend
great_pret,proper,complete,1,critical,convenient,nonprob, prioriTy,recommend
great_pret,proper,incomplete,3,critical,convenient,slightly_prob,noT_rEcom,not_recommend
pretentious,less_proper,incomplete,more,convenient,inconv,nonprob,noT_recOm,not_recommend
pretentious,very_crit,foster,more,less_conv,inconv,slightly_prob, recoMmended,recommend
usual,less_proper,completed,1,convenient,convenient,nonprob, prIority,recommend
usual,proper,completed,3,convenient,inconv,problematic,noT_reCom,not_recommend
pretentious,improper,foster,1,convenient,convenient,slightly_prob, recoMmended,recommend
pretentious,critical,completed,1,less_conv,inconv,slightly_prob, prioRity,recommend
pretentious,proper,foster,more,less_conv,convenient,problematic, priorIty,recommend
pretentious,proper,incomplete,2,convenient,inconv,slightly_prob,noT_recOm,not_recommend
usual,proper,incomplete,3,less_conv,convenient,slightly_prob, recoMmended,recommend
great_pret,proper,incomplete,more,convenient,inconv,nonprob, priorIty,recommend
great_pret,proper,completed,2,convenient,inconv,slightly_prob, priorIty,recommend
pretentious,very_crit,completed,2,convenient,convenient,slightly_prob, recOmmended,recommend
great_pret,critical,completed,1,less_conv,convenient,problematic, priOrity,recommend
great_pret,less_proper,foster,2,convenient,inconv,problematic, recOmmended,recommend
pretentious,improper,complete,more,convenient,inconv,nonprob, reCommended,recommend
usual,proper,completed,3,less_conv,inconv,slightly_prob, recommendEd,recommend
pretentious,proper,incomplete,1,less_conv,inconv,problematic, prioriTy,recommend
great_pret,proper,incomplete,more,less_conv,convenient,slightly_prob, prioRity,recommend
pretentious,very_crit,foster,3,critical,inconv,problematic, priOrity,recommend
usual,critical,incomplete,1,less_conv,convenient,problematic, prioriTy,recommend
great_pret,improper,foster,1,convenient,inconv,nonprob,noT_Recom,not_recommend
great_pret,very_crit,foster,more,convenient,convenient,problematic, priorIty,recommend
usual,very_crit,completed,2,critical,convenient,slightly_prob, prioriTy,recommend
great_pret,critical,completed,1,less_conv,convenient,slightly_prob, recoMmended,recommend
usual,critical,foster,3,critical,convenient,slightly_prob,noT_Recom,not_recommend
