position,oral,written,race,combine,promotion
 lieutenAnt,52.2,92,W,79.006,Promotion
 lieutenaNt,40.83,95,W,92.808,Promotion
 lieutenAnt,83.47,91,H,68.986,No promotion
 caPtain,66.49,89,H,92.808,Promotion
 lieutEnant,72.05,64,B,92.808,Promotion
 lIeutenant,86.89,89,W,58.807,Promotion
 lieutEnant,92.08,93,H,86.042,Promotion
 lieuteNant,62.2,80,B,92.808,No promotion
 lIeutenant,78.7,85,H,91.019,No promotion
 lieutEnant,74.43,74,B,92.808,Promotion
 liEutenant,88.97,93,W,92.808,Promotion
 lIeutenant,81.31,95,W,92.808,No promotion
 cAptain,84.08,50,W,89.019,No promotion
 lieuteNant,54.67,95,B,90.006,Promotion
