position,oral,written,race,combine,promotion
Lieutenant,52.2,92,W,4.0672032242998534e+17,Promotion
Lieutenant,40.83,95,W,4.0672032242998534e+17,Promotion
Lieutenant,83.47,91,H,4.0672032242998534e+17,No promotion
Captain,66.49,89,H,4.0672032242998534e+17,Promotion
Lieutenant,72.05,64,B,4.0672032242998534e+17,Promotion
Lieutenant,86.89,89,W,4.0672032242998534e+17,Promotion
Lieutenant,92.08,93,H,4.0672032242998534e+17,Promotion
Lieutenant,62.2,80,B,4.0672032242998534e+17,No promotion
Lieutenant,78.7,85,H,4.0672032242998534e+17,No promotion
Lieutenant,74.43,74,B,4.0672032242998534e+17,Promotion
Lieutenant,88.97,93,W,4.0672032242998534e+17,Promotion
Lieutenant,81.31,95,W,4.0672032242998534e+17,No promotion
Captain,84.08,50,W,4.0672032242998534e+17,No promotion
Lieutenant,54.67,95,B,4.0672032242998534e+17,Promotion
