age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
,Private,42,8,Prof school degree (MD DDS DVM LLB JD),0,Not in universe,Widowed,Other professional services,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,13,0,4,Single,Not in universe,Pennsylvania,Nonfamily householder,Householder,Not in universe under 1 year old,2,Not in universe,Nicaragua,Cuba,Philippines,Foreign born- Not a citizen of U S,0,Not in universe,2,52,95,1
,Not in universe,0,0,10th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,Black,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,4,Joint both under 65,Not in universe,Virginia,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
, Private,12,3, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Professional specialty, White, All other, Male, Not in universe, Not in universe, Full-time schedules,14608,0,1803, Joint both under 65, Not in universe,Delaware, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
, Private,44,25, High school graduate,489, Not in universe, Married-civilian spouse present, Retail trade, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,0,1,4, Joint both under 65, Not in universe,Utah, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
, Not in universe,29,0, 12th grade no diploma,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Puerto Rican, Male, Not in universe, Not in universe, Not in labor force,3,0,2, Joint both under 65, Not in universe,North Carolina, Householder, Householder, Not in universe under 1 year old,6, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,3,95,0
,Private,42,25,Some college but no degree,0,Not in universe,Married-civilian spouse present,Hospital services,Other service,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,0,5,Joint both under 65,Not in universe,Utah,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,18,95,0
, Not in universe,0,0, High school graduate,0, Not in universe, Divorced, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,6, Single, Not in universe,Colorado, Nonfamily householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Yes,2,0,95,0
, Not in universe,0,0, 9th grade,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,7, Nonfiler, Not in universe,Arkansas, Spouse of householder, Other relative of householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,6,0,7,Nonfiler,Not in universe,New York,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
,Not in universe,0,0,10th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,0,0,159,Joint both under 65,Not in universe,Louisiana,Spouse of householder,Spouse of householder,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,12,95,1
,Local government,44,26,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Education,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,6,Joint both under 65,Not in universe,Illinois,Spouse of householder,Spouse of householder,No,6,Not in universe,Portugal,China, Holand-Netherlands,Foreign born- U S citizen by naturalization,2,Not in universe,2,19,94,0
