position,oral,written,race,combine,promotion
Lieutenant,52.2,92,W,,Promotion
Lieutenant,40.83,95,W,,Promotion
Lieutenant,83.47,91,H,,No promotion
Captain,66.49,89,H,,Promotion
Lieutenant,72.05,64,B,,Promotion
Lieutenant,86.89,89,W,,Promotion
Lieutenant,92.08,93,H,,Promotion
Lieutenant,62.2,80,B,,No promotion
Lieutenant,78.7,85,H,,No promotion
Lieutenant,74.43,74,B,,Promotion
Lieutenant,88.97,93,W,,Promotion
Lieutenant,81.31,95,W,,No promotion
Captain,84.08,50,W,,No promotion
Lieutenant,54.67,95,B,,Promotion
