Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6883321403006443,0.7709930753616723,0.7709930753616722,0.7636713725154018,0.16202330589294434
BernoulliNB,0.8430207587687902,0.7252222023520909,0.7252222023520909,0.8704232056308792,0.16805362701416016
GaussianNB,0.8574087329992842,0.7196493218856795,0.7196493218856795,0.8795545919901032,0.13817071914672852
Perceptron,0.9303507516105941,0.670730851082789,0.670730851082789,0.9247001305232883,0.18917274475097656
DecisionTreeClassifier,0.8963493199713672,0.6533326051032642,0.6533326051032642,0.9002899665458972,0.5326824188232422
LGBMClassifier,0.9418754473872584,0.6346704036852744,0.6346704036852743,0.9289187171811768,0.6916558742523193
QuadraticDiscriminantAnalysis,0.8989978525411596,0.6345438084158814,0.6345438084158814,0.9002805801683176,0.25548887252807617
BaggingClassifier,0.9340730136005727,0.6336832217635704,0.6336832217635704,0.9232301705394838,3.2519619464874268
XGBClassifier,0.9393700787401574,0.6296451553035122,0.6296451553035122,0.9264450299369763,0.9280836582183838
LinearDiscriminantAnalysis,0.937007874015748,0.6269942595805271,0.6269942595805271,0.9244211184322068,0.3252072334289551
ExtraTreeClassifier,0.902505368647101,0.6134610870108952,0.6134610870108952,0.9003370147696828,0.15996003150939941
CalibratedClassifierCV,0.9385826771653544,0.6062486902613209,0.606248690261321,0.9225324881354752,2.2706313133239746
LogisticRegression,0.9390837508947745,0.6055997358706466,0.6055997358706467,0.922772768900827,0.3655226230621338
AdaBoostClassifier,0.9375089477451682,0.601535244184453,0.601535244184453,0.9210692615669345,2.6708924770355225
RandomForestClassifier,0.9397995705082319,0.5995531217717438,0.5995531217717438,0.9222886114067335,5.904438257217407
PassiveAggressiveClassifier,0.9246241947029349,0.5950534588470121,0.5950534588470121,0.9117644746051894,0.18597102165222168
SVC,0.9397279885468862,0.5949201036360496,0.5949201036360497,0.9214662081496074,50.63584232330322
SGDClassifier,0.9380100214745885,0.5857245858460344,0.5857245858460344,0.9187410718154024,0.32520627975463867
LabelSpreading,0.9046528274874731,0.585672887656531,0.585672887656531,0.8983867919524158,152.35299253463745
LabelPropagation,0.9042949176807444,0.5845611845384158,0.5845611845384159,0.8980345529069009,120.14364290237427
KNeighborsClassifier,0.9277022190408017,0.584306611284309,0.584306611284309,0.9120328957083853,0.8487162590026855
LinearSVC,0.9364352183249821,0.5724711826763592,0.5724711826763592,0.915295189176388,0.5583293437957764
ExtraTreesClassifier,0.9358625626342162,0.5592982074478579,0.5592982074478577,0.9122897077429925,5.637343883514404
RidgeClassifierCV,0.933142448103078,0.538995567936491,0.538995567936491,0.9062419831176928,0.3065512180328369
RidgeClassifier,0.933142448103078,0.538995567936491,0.538995567936491,0.9062419831176928,0.14714384078979492
DummyClassifier,0.9281317108088761,0.5,0.5,0.8935369588912895,0.0975191593170166
