Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelSpreading,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.013275384902954102
LabelPropagation,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.011544466018676758
RandomForestClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.13574433326721191
ExtraTreesClassifier,0.6774193548387096,0.6700336700336701,,0.6742842999752495,0.11110877990722656
BaggingClassifier,0.6774193548387096,0.6700336700336701,,0.6675521821631879,0.0437009334564209
DecisionTreeClassifier,0.6774193548387096,0.6700336700336701,,0.6742842999752495,0.012052536010742188
ExtraTreeClassifier,0.6774193548387096,0.6565656565656566,,0.6576076938489281,0.011189699172973633
NearestCentroid,0.6129032258064516,0.6094276094276094,,0.6141935483870967,0.01241302490234375
GaussianNB,0.6129032258064516,0.6094276094276094,,0.6141935483870967,0.011518716812133789
CalibratedClassifierCV,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.042343854904174805
LGBMClassifier,0.5806451612903226,0.5791245791245792,,0.567268305171531,0.14872145652770996
RidgeClassifierCV,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.011543512344360352
RidgeClassifier,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.011144638061523438
LinearDiscriminantAnalysis,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.010618209838867188
LinearSVC,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.010944128036499023
LogisticRegression,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.012920141220092773
NuSVC,0.5806451612903226,0.579124579124579,,0.5478110599078341,0.011659860610961914
BernoulliNB,0.5806451612903226,0.5723905723905723,,0.5781286315367662,0.018137216567993164
KNeighborsClassifier,0.5483870967741935,0.5488215488215488,,0.5236961181233626,0.013022184371948242
SGDClassifier,0.5483870967741935,0.5420875420875421,,0.5460829493087557,0.012207508087158203
SVC,0.5161290322580645,0.5185185185185185,,0.49793217535153017,0.012259721755981445
AdaBoostClassifier,0.5161290322580645,0.5185185185185185,,0.47973238238565724,0.09769725799560547
Perceptron,0.4838709677419355,0.494949494949495,,0.47829777810585367,0.01174020767211914
QuadraticDiscriminantAnalysis,0.4838709677419355,0.48821548821548827,,0.4288468668891361,0.010608911514282227
PassiveAggressiveClassifier,0.3870967741935484,0.3703703703703704,,0.34216185625353707,0.011806249618530273
DummyClassifier,0.2903225806451613,0.3333333333333333,,0.13064516129032258,0.01081991195678711
