Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.8240740740740741,0.867595818815331,0.867595818815331,0.8289155407300117,0.018017292022705078
LGBMClassifier,0.6728395061728395,0.7537746806039489,0.7537746806039489,0.6730046824747268,0.3994474411010742
AdaBoostClassifier,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,0.25652432441711426
GaussianNB,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,0.019764423370361328
QuadraticDiscriminantAnalysis,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,0.025649070739746094
NuSVC,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,5.455582618713379
XGBClassifier,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,3.7985424995422363
SVC,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,1.7122602462768555
KNeighborsClassifier,0.6724537037037037,0.7534843205574913,0.7534843205574913,0.6725778781480762,0.16771149635314941
RandomForestClassifier,0.6712962962962963,0.7526132404181185,0.7526132404181185,0.6712962962962963,0.4886159896850586
LabelPropagation,0.6709104938271605,0.7520385277744404,0.7520385277744405,0.67095217823768,2.4780495166778564
LabelSpreading,0.6709104938271605,0.7520385277744404,0.7520385277744405,0.67095217823768,3.7593348026275635
ExtraTreesClassifier,0.6701388888888888,0.7517421602787456,0.7517421602787456,0.6700129531268721,0.47182393074035645
DecisionTreeClassifier,0.6701388888888888,0.7517421602787456,0.7517421602787456,0.6700129531268721,0.03638601303100586
BaggingClassifier,0.6701388888888888,0.751457807681525,0.7514578076815251,0.670097008546945,0.09200263023376465
ExtraTreeClassifier,0.6670524691358025,0.7485662221154231,0.7485662221154232,0.6668401162112982,0.024073123931884766
NearestCentroid,0.6396604938271605,0.6577155673034563,0.6577155673034564,0.6496501802287943,0.03067612648010254
Perceptron,0.5864197530864198,0.5661780607953862,0.5661780607953864,0.5952615285948619,0.026891469955444336
PassiveAggressiveClassifier,0.4236111111111111,0.5178621490648404,0.5178621490648404,0.3933005243997268,0.02640080451965332
CalibratedClassifierCV,0.33564814814814814,0.5,0.5,0.1686966429167469,0.09556937217712402
DummyClassifier,0.33564814814814814,0.5,0.5,0.1686966429167469,0.018045425415039062
LogisticRegression,0.33564814814814814,0.5,0.5,0.1686966429167469,0.03457474708557129
LinearDiscriminantAnalysis,0.33564814814814814,0.5,0.5,0.1686966429167469,0.03743886947631836
LinearSVC,0.33564814814814814,0.5,0.5,0.1686966429167469,0.03810238838195801
RidgeClassifier,0.33564814814814814,0.5,0.5,0.1686966429167469,0.020678281784057617
RidgeClassifierCV,0.33564814814814814,0.5,0.5,0.1686966429167469,0.02515125274658203
SGDClassifier,0.33564814814814814,0.5,0.5,0.1686966429167469,0.07340788841247559
