Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,1.0,1.0,0.09672117233276367
BaggingClassifier,1.0,1.0,1.0,1.0,0.028699636459350586
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.010969877243041992
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.11042523384094238
LGBMClassifier,1.0,1.0,1.0,1.0,0.11125612258911133
XGBClassifier,1.0,1.0,1.0,1.0,0.09846806526184082
NuSVC,1.0,1.0,1.0,1.0,0.011554479598999023
RandomForestClassifier,1.0,1.0,1.0,1.0,0.12978363037109375
LabelPropagation,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013088226318359375
KNeighborsClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013796329498291016
ExtraTreeClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.011006355285644531
SVC,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.01255345344543457
LabelSpreading,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.01606130599975586
CalibratedClassifierCV,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.029761075973510742
BernoulliNB,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.012627840042114258
RidgeClassifierCV,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.012058734893798828
GaussianNB,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.013121604919433594
LinearSVC,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.015435457229614258
LinearDiscriminantAnalysis,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.01496124267578125
QuadraticDiscriminantAnalysis,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.010756492614746094
PassiveAggressiveClassifier,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.012069940567016602
NearestCentroid,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.011784791946411133
LogisticRegression,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.012709617614746094
RidgeClassifier,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.012645959854125977
SGDClassifier,0.9166666666666666,0.9166666666666666,0.9166666666666665,0.9166666666666666,0.011947870254516602
Perceptron,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.625,0.011353492736816406
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.010358095169067383
