Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,1.0,1.0,0.015490531921386719
BaggingClassifier,1.0,1.0,1.0,1.0,0.029575824737548828
BernoulliNB,1.0,1.0,1.0,1.0,0.012321949005126953
CalibratedClassifierCV,1.0,1.0,1.0,1.0,0.0314936637878418
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.011517524719238281
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.10396122932434082
Perceptron,1.0,1.0,1.0,1.0,0.011565923690795898
NuSVC,1.0,1.0,1.0,1.0,0.011658668518066406
LogisticRegression,1.0,1.0,1.0,1.0,0.01274251937866211
LinearSVC,1.0,1.0,1.0,1.0,0.011616230010986328
LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0,0.011327266693115234
XGBClassifier,1.0,1.0,1.0,1.0,0.07315540313720703
LGBMClassifier,1.0,1.0,1.0,1.0,0.0779869556427002
RidgeClassifier,1.0,1.0,1.0,1.0,0.013025999069213867
RandomForestClassifier,1.0,1.0,1.0,1.0,0.1428830623626709
RidgeClassifierCV,1.0,1.0,1.0,1.0,0.013777017593383789
KNeighborsClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013760805130004883
LabelSpreading,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.011791229248046875
LabelPropagation,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012995481491088867
SGDClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.011672735214233398
SVC,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012166500091552734
PassiveAggressiveClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012366533279418945
GaussianNB,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.01176595687866211
NearestCentroid,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.011437654495239258
ExtraTreeClassifier,0.9166666666666666,0.9166666666666666,0.9166666666666665,0.9166666666666666,0.012019872665405273
QuadraticDiscriminantAnalysis,0.7083333333333334,0.7083333333333334,0.7083333333333333,0.6812144212523719,0.01339101791381836
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.011351585388183594
