Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.48531001277390196,0.4203676935483607,,0.47675630468940083,0.22620058059692383
LGBMClassifier,0.5868625331630146,0.40850581712144923,,0.5294406152103794,2.0645716190338135
XGBClassifier,0.581507320428417,0.4056539255724767,,0.5252317328225129,4.976228713989258
RandomForestClassifier,0.5810651468998722,0.39877630192335295,,0.5213530886915368,18.65175223350525
BaggingClassifier,0.5521764763682814,0.3957696226068757,,0.5110055504833688,9.418947458267212
AdaBoostClassifier,0.5764960204382431,0.3906606173268463,,0.5065853525067886,4.8646228313446045
BernoulliNB,0.5682912449641349,0.38905061609121927,,0.5100081296565864,0.2966151237487793
ExtraTreesClassifier,0.5730077626019455,0.387650444167078,,0.5048577796470037,16.344109058380127
GaussianNB,0.5330156234646752,0.38668560676023933,,0.4320885020752602,0.24921417236328125
SVC,0.5745799351478825,0.38593793235296586,,0.4998219105024639,1864.7603101730347
QuadraticDiscriminantAnalysis,0.4823130588582097,0.38015708362108486,,0.44153452606548693,0.4016427993774414
DecisionTreeClassifier,0.4780878451410042,0.379328177222072,,0.4753702225863549,1.63071608543396
LogisticRegression,0.5674068979070453,0.37768749169278903,,0.4868563200183272,0.39055728912353516
PassiveAggressiveClassifier,0.476859585339491,0.3761082328756408,,0.4611324016408174,0.7569980621337891
LinearDiscriminantAnalysis,0.5620516851724476,0.3759538911422715,,0.47329137825936457,0.48403048515319824
KNeighborsClassifier,0.5300677999410436,0.3747021778180912,,0.48869204521904874,1.4473998546600342
CalibratedClassifierCV,0.5650977694802004,0.3732335743667792,,0.4795590450066962,6.085040330886841
LabelPropagation,0.47214306770168024,0.3700820080098723,,0.4684540024408747,338.94379353523254
LabelSpreading,0.47214306770168024,0.3699508050297617,,0.4683293809452692,424.25639486312866
LinearSVC,0.5642134224231109,0.3698780631662122,,0.47272246426311765,1.4621193408966064
RidgeClassifierCV,0.5632799449739609,0.3683157598316962,,0.46935854726575277,0.6072061061859131
RidgeClassifier,0.5632308145819004,0.3682853239904495,,0.46932533192461146,0.27313876152038574
SGDClassifier,0.554927778323671,0.365281904687298,,0.4549899457047419,2.4118032455444336
ExtraTreeClassifier,0.44959221774589764,0.3629469326952619,,0.45340404185748845,0.3668215274810791
Perceptron,0.5047656480298712,0.3613892365273086,,0.47174775978524375,0.6991472244262695
DummyClassifier,0.5380760538469097,0.3333333333333333,,0.376477923831301,0.1924448013305664
