Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,1.0,1.0,0.10378479957580566
BaggingClassifier,1.0,1.0,1.0,1.0,0.03179144859313965
CalibratedClassifierCV,1.0,1.0,1.0,1.0,0.030560970306396484
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.1114816665649414
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.011099815368652344
RidgeClassifierCV,1.0,1.0,1.0,1.0,0.012842893600463867
SGDClassifier,1.0,1.0,1.0,1.0,0.01197195053100586
XGBClassifier,1.0,1.0,1.0,1.0,0.08988165855407715
SVC,1.0,1.0,1.0,1.0,0.014249563217163086
LogisticRegression,1.0,1.0,1.0,1.0,0.012354373931884766
LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0,0.011184215545654297
LGBMClassifier,1.0,1.0,1.0,1.0,0.10320138931274414
RandomForestClassifier,1.0,1.0,1.0,1.0,0.1270766258239746
RidgeClassifier,1.0,1.0,1.0,1.0,0.011629104614257812
LabelSpreading,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.011580467224121094
ExtraTreeClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.016261816024780273
LabelPropagation,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012197494506835938
LinearSVC,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.011682748794555664
KNeighborsClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.016116857528686523
QuadraticDiscriminantAnalysis,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.01099085807800293
NuSVC,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012287378311157227
BernoulliNB,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.011483430862426758
GaussianNB,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.013466119766235352
Perceptron,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.01426839828491211
NearestCentroid,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.011168718338012695
PassiveAggressiveClassifier,0.7083333333333334,0.7083333333333333,0.7083333333333334,0.7078260869565218,0.011477231979370117
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.011618614196777344
