Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
CalibratedClassifierCV,1.0,1.0,1.0,1.0,0.03126358985900879
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.011895418167114258
LogisticRegression,1.0,1.0,1.0,1.0,0.013663291931152344
Perceptron,1.0,1.0,1.0,1.0,0.012506246566772461
PassiveAggressiveClassifier,1.0,1.0,1.0,1.0,0.01310276985168457
LinearSVC,1.0,1.0,1.0,1.0,0.012767553329467773
SGDClassifier,1.0,1.0,1.0,1.0,0.012723445892333984
LabelPropagation,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012693166732788086
ExtraTreesClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.11044883728027344
LabelSpreading,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012356281280517578
AdaBoostClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.10875558853149414
SVC,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.011650562286376953
RidgeClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013762235641479492
RidgeClassifierCV,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.01363992691040039
LinearDiscriminantAnalysis,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.01191568374633789
BaggingClassifier,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.03464078903198242
GaussianNB,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.013115882873535156
NearestCentroid,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.012746572494506836
NuSVC,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.0124359130859375
XGBClassifier,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.4273357391357422
RandomForestClassifier,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.1406559944152832
LGBMClassifier,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.12455916404724121
QuadraticDiscriminantAnalysis,0.9166666666666666,0.9166666666666666,0.9166666666666665,0.9166666666666666,0.011482477188110352
ExtraTreeClassifier,0.875,0.875,0.875,0.8747826086956522,0.01306915283203125
KNeighborsClassifier,0.875,0.875,0.875,0.8730158730158729,0.0147552490234375
BernoulliNB,0.8333333333333334,0.8333333333333333,0.8333333333333334,0.8285714285714286,0.012504816055297852
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.011176109313964844
