Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BaggingClassifier,1.0,1.0,1.0,1.0,0.02991199493408203
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.011998891830444336
CalibratedClassifierCV,1.0,1.0,1.0,1.0,0.029221296310424805
LabelPropagation,1.0,1.0,1.0,1.0,0.012015819549560547
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.10978865623474121
XGBClassifier,1.0,1.0,1.0,1.0,0.11144065856933594
SVC,1.0,1.0,1.0,1.0,0.01247406005859375
NuSVC,1.0,1.0,1.0,1.0,0.013070106506347656
LogisticRegression,1.0,1.0,1.0,1.0,0.01245570182800293
LinearSVC,1.0,1.0,1.0,1.0,0.011302947998046875
LabelSpreading,1.0,1.0,1.0,1.0,0.011803865432739258
LGBMClassifier,1.0,1.0,1.0,1.0,0.10263681411743164
RandomForestClassifier,1.0,1.0,1.0,1.0,0.12397575378417969
RidgeClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.011770963668823242
Perceptron,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012086153030395508
AdaBoostClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.09392094612121582
BernoulliNB,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013678550720214844
PassiveAggressiveClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.011362552642822266
KNeighborsClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.014099359512329102
RidgeClassifierCV,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013364553451538086
LinearDiscriminantAnalysis,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.01112055778503418
GaussianNB,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.013625860214233398
NearestCentroid,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.01237034797668457
SGDClassifier,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.011892080307006836
ExtraTreeClassifier,0.9166666666666666,0.9166666666666666,0.9166666666666665,0.9166666666666666,0.01130819320678711
QuadraticDiscriminantAnalysis,0.9166666666666666,0.9166666666666666,0.9166666666666665,0.9166666666666666,0.010842323303222656
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.010462284088134766
