Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6641374373657838,0.7597967685021136,0.7597967685021136,0.7450876730438089,0.17766642570495605
Perceptron,0.8691481746599857,0.7305680102357807,0.7305680102357807,0.8878193884093878,0.22547364234924316
BernoulliNB,0.8194702934860415,0.7244807596699427,0.7244807596699427,0.8549365607874089,0.15817999839782715
GaussianNB,0.8746599856836077,0.7013761243780086,0.7013761243780086,0.889765658682014,0.1442701816558838
QuadraticDiscriminantAnalysis,0.8978525411596278,0.660115207840549,0.660115207840549,0.9018327207518716,0.2767198085784912
DecisionTreeClassifier,0.8993557623478883,0.6531144433526115,0.6531144433526114,0.9022022815058255,0.709742546081543
PassiveAggressiveClassifier,0.8987831066571224,0.6436170327175026,0.6436170327175026,0.900987973083539,0.20002079010009766
BaggingClassifier,0.9358625626342162,0.6392417373541466,0.6392417373541466,0.9251742748616544,4.113239288330078
LinearDiscriminantAnalysis,0.9359341445955619,0.6296319426904444,0.6296319426904444,0.9240153418764311,0.33776211738586426
LGBMClassifier,0.9407301360057265,0.6285400584919307,0.6285400584919307,0.9272701742542203,0.6810870170593262
XGBClassifier,0.9397995705082319,0.619309281461229,0.619309281461229,0.9253211465682172,2.401355266571045
AdaBoostClassifier,0.9383679312813171,0.6065924486536347,0.6065924486536348,0.9224394899267148,3.104916572570801
LogisticRegression,0.9390837508947745,0.6033025079997762,0.6033025079997764,0.9224105853956813,0.3587460517883301
CalibratedClassifierCV,0.9382247673586256,0.5987047491047687,0.5987047491047687,0.9210932503198013,1.8239552974700928
ExtraTreeClassifier,0.9032211882605583,0.5982255614285108,0.5982255614285108,0.8990607190140647,0.17296290397644043
RandomForestClassifier,0.9398711524695776,0.598213347443175,0.5982133474431751,0.9221153805739685,7.465628147125244
SVC,0.9397995705082319,0.5977153394750475,0.5977153394750476,0.921984415130221,73.18975567817688
LabelPropagation,0.9050823192555476,0.5969309558004293,0.5969309558004293,0.9000309816081753,155.55401849746704
LabelSpreading,0.9055833929849678,0.5967414469839292,0.5967414469839292,0.900310790877015,194.1458601951599
KNeighborsClassifier,0.9287759484609879,0.5917767308062214,0.5917767308062214,0.9138784865033572,0.8632290363311768
SGDClassifier,0.9380816034359342,0.5834659203691174,0.5834659203691174,0.9183805780590435,0.3976936340332031
LinearSVC,0.9359341445955619,0.5676067901769446,0.5676067901769445,0.9140394403308203,0.5991630554199219
ExtraTreesClassifier,0.9362204724409449,0.5631665840110175,0.5631665840110175,0.9133070833627528,6.864099502563477
RidgeClassifierCV,0.9333571939871153,0.5414084829892216,0.5414084829892215,0.9069250090714434,0.32138586044311523
RidgeClassifier,0.9333571939871153,0.5414084829892216,0.5414084829892215,0.9069250090714434,0.1611497402191162
DummyClassifier,0.9281317108088761,0.5,0.5,0.8935369588912895,0.10056543350219727
