Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,1.0,1.0,0.11118078231811523
BaggingClassifier,1.0,1.0,1.0,1.0,0.036438941955566406
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.012485742568969727
KNeighborsClassifier,1.0,1.0,1.0,1.0,0.014371156692504883
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.11303448677062988
XGBClassifier,1.0,1.0,1.0,1.0,0.10858941078186035
LGBMClassifier,1.0,1.0,1.0,1.0,0.08825945854187012
QuadraticDiscriminantAnalysis,1.0,1.0,1.0,1.0,0.012618780136108398
RandomForestClassifier,1.0,1.0,1.0,1.0,0.14711451530456543
LogisticRegression,1.0,1.0,1.0,1.0,0.013480901718139648
LabelPropagation,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013727664947509766
RidgeClassifierCV,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013583183288574219
RidgeClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.014386177062988281
SVC,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012492895126342773
ExtraTreeClassifier,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.012637615203857422
CalibratedClassifierCV,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.034616947174072266
LabelSpreading,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013141393661499023
LinearDiscriminantAnalysis,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013009786605834961
LinearSVC,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013016462326049805
NuSVC,0.9583333333333334,0.9583333333333333,0.9583333333333333,0.9582608695652174,0.013971328735351562
NearestCentroid,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.013499259948730469
GaussianNB,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.013333559036254883
PassiveAggressiveClassifier,0.9166666666666666,0.9166666666666667,0.9166666666666667,0.9160839160839161,0.012765169143676758
Perceptron,0.875,0.875,0.875,0.8747826086956522,0.01292562484741211
BernoulliNB,0.7916666666666666,0.7916666666666666,0.7916666666666667,0.7883597883597883,0.013596296310424805
SGDClassifier,0.75,0.75,0.7500000000000001,0.7428571428571429,0.012165307998657227
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.013495445251464844
