age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
19,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,2,0,2,Nonfiler,Not in universe,Alaska,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,Laos,United-States,Columbia,Native- Born in the United States,0,Not in universe,0,0,95,0
2,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,11,0,2,Nonfiler,Not in universe,Nebraska,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
19,Not in universe,0,0,10th grade,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Central or South American,Female,Not in universe,Not in universe,Children or Armed Forces,5,0,0,Nonfiler,Not in universe,Vermont,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
60,Not in universe,0,0,High school graduate,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,4,0,5,Joint both under 65,Not in universe,Pennsylvania,Spouse of householder,Spouse of householder,Not in universe under 1 year old,0,Not in universe,Japan,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
53,Private,35,31,5th or 6th grade,0,Not in universe,Married-civilian spouse present,Business and repair services,Other service,White,Mexican (Mexicano),Female,Not in universe,Not in universe,Unemployed full-time,0,1,0,Joint both under 65,Not in universe,New Jersey,Spouse of householder,Spouse of householder,Not in universe under 1 year old,0,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,52,95,0
49,Private,30,37,High school graduate,0,Not in universe,Married-civilian spouse present,Transportation,Precision production craft & repair,White,Other Spanish,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,0,Joint both under 65,Not in universe,New York,Householder,Householder,Yes,0,Not in universe,Italy,Poland,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
21,Not in universe,0,0,Some college but no degree,0,College or university,Never married,Not in universe or children,Not in universe,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,1,0,4,Nonfiler,South,Kansas,Child 18+ never marr Not in a subfamily,Child 18 or older,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,20,94,0
34,Private,33,2,Some college but no degree,0,College or university,Never married,Public administration,Executive admin and managerial,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,4,0,5,Single,South,Tennessee,Child 18+ never marr Not in a subfamily,Child 18 or older,No,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
56, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,1,0,5, Joint both under 65, Not in universe,Georgia, Spouse of householder, Spouse of householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,0,94,0
25, Private,10,37, 10th grade,0, Not in universe, Never married, Agriculture, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,11,0,6, Joint both under 65, Not in universe,Delaware, Other Rel 18+ never marr not in subfamily, Other relative of householder, No,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,18,94,1
46,Private,12,2,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Manufacturing-durable goods,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Full-time schedules,2,0,4,Joint both under 65,Not in universe,Alaska,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
12,Private,39,42,Associates degree-occup /vocational,1,Not in universe,Never married,Entertainment,Machine operators assmblrs & inspctrs,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,6,Single,Not in universe,Louisiana,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
54, Private,29,31, High school graduate,0, Not in universe, Separated, Transportation, Other service, White, All other, Female,Yes, Not in universe, Children or Armed Forces,12,0,3, Single, Not in universe,Wisconsin, Householder, Householder, Yes,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,1,52,94,0
30, Not in universe,0,0, Less than 1st grade,0, High school, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Other job loser, Children or Armed Forces,0,0,4, Nonfiler, Abroad,Iowa, Householder, Child 18 or older, No,0, Not in universe, Germany, Mexico, Nicaragua, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,94,0
16, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,4,0,0, Nonfiler, Not in universe,New Jersey, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Both parents present,Outlying-U S (Guam USVI etc), United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
20,Private,43,29,High school graduate,0,Not in universe,Separated,Private household services,Other service,Black,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,3,Head of household,Not in universe,Arkansas,Other Rel 18+ ever marr not in subfamily,Spouse of householder,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
37,Private,37,26,High school graduate,0,Not in universe,Married-civilian spouse present,Retail trade,Adm support including clerical,White,Central or South American,Female,Not in universe,Not in universe,Children or Armed Forces,3,0,7,Joint both under 65,Not in universe,Kentucky,Spouse of householder,Spouse of householder,Yes,6,Not in universe,Mexico,Mexico, Iran,Foreign born- Not a citizen of U S,0,Not in universe,2,40,94,0
36, Private,29,0, High school graduate,1, Not in universe, Married-civilian spouse present, Public administration,Protective services, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,5, Joint both under 65, Not in universe,North Carolina, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
25, Private,31,35, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, Other, All other, Male, Yes, Not in universe, Children or Armed Forces,2,0,7, Joint both under 65, South,Alaska, Spouse of householder, Spouse of householder, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
6,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,5,Nonfiler,Not in universe,Alabama,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
46, Private,29,12, High school graduate,0, Not in universe, Married-civilian spouse present, Communications, Professional specialty, White, All other, Male, No, Not in universe,PT for econ reasons usually PT,0,0,3, Joint both under 65, Not in universe,Oregon, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
18,Private,32,24,Some college but no degree,0,Not in universe,Never married,Manufacturing-durable goods,Technicians and related support,Asian or Pacific Islander,All other,Female,Not in universe,Not in universe,Full-time schedules,0,0,5,Single,Not in universe,New Hampshire,RP of unrelated subfamily,Other relative of householder,Not in universe under 1 year old,3,Not in universe,France,,El-Salvador,Foreign born- Not a citizen of U S,0,Not in universe,2,25,95,0
25,Private,32,42,10th grade,503,High school,Never married,Retail trade,Handlers equip cleaners etc,White,All other,Male,No,Not in universe,Unemployed part- time,1,0,6,Single,Not in universe,Connecticut,Child <18 never marr not in subfamily,Child 18 or older,Not in universe under 1 year old,6,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,25,95,0
0, Not in universe,0,0, Children,1, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,10,0,0, Nonfiler, Not in universe,Maine, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
42,Private,42,27,Bachelors degree(BA AB BS),0,Not in universe,Married-civilian spouse present,Hospital services,Professional specialty,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,1,Joint both under 65,Not in universe,Louisiana,Spouse of householder,Spouse of householder,Yes,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
55,Private,37,25,High school graduate,0,Not in universe,Divorced,Business and repair services,Other service,Black,All other,Male,Not in universe,Not in universe,Children or Armed Forces,8,0,4,Head of household,Not in universe,Utah,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
23, Private,33,33, 11th grade,0, Not in universe, Widowed, Business and repair services, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Joint both under 65, West,Indiana, Spouse of householder, Other relative of householder, No,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,20,94,0
39,Private,39,42,5th or 6th grade,0,Not in universe,Married-civilian spouse present,Business and repair services,Farming forestry and fishing,White,Mexican (Mexicano),Female,Not in universe,Not in universe,PT for non-econ reasons usually FT,0,0,5,Joint both under 65,Not in universe,Virginia,Spouse of householder,Spouse of householder,Yes,5,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,52,94,0
