position,oral,written,race,combine,promotion
0,89.52,95,0,92.808,0
0,80.0,95,0,89.0,0
0,82.38,87,0,85.152,0
0,88.57,76,0,81.028,0
0,76.19,84,0,80.876,0
0,76.19,82,1,79.676,0
0,76.19,82,0,79.676,0
0,70.0,84,1,78.4,0
0,73.81,81,0,78.124,0
0,84.29,72,0,76.916,0
0,87.62,69,0,76.448,0
0,80.0,74,0,76.4,0
0,79.05,74,1,76.02,0
0,73.81,77,0,75.724,0
0,76.67,74,0,75.068,0
0,82.38,70,2,74.952,0
0,73.33,74,0,73.732,0
0,70.0,76,0,73.6,0
0,68.57,74,2,71.828,0
0,82.38,64,0,71.352,0
0,56.67,81,0,71.268,0
0,70.95,70,2,70.38,0
0,62.38,75,0,69.952,1
0,78.57,64,0,69.828,1
0,71.43,68,0,69.372,1
0,71.43,68,0,69.372,1
0,59.05,76,0,69.22,1
0,60.48,75,1,69.192,1
0,57.14,75,0,67.856,1
0,52.38,77,2,67.152,1
0,67.14,65,1,65.856,1
0,55.24,68,0,62.896,1
0,58.57,65,1,62.428,1
0,48.57,69,0,60.828,1
0,67.62,56,2,60.648,1
0,57.14,61,1,59.456,1
0,70.48,50,2,58.192,1
0,42.86,67,1,57.344,1
0,53.81,58,0,56.324,1
0,60.0,53,2,55.8,1
0,54.76,49,2,51.304,1
1,88.75,91,0,90.1,0
1,87.5,87,0,87.2,0
1,77.5,91,0,85.6,0
1,85.0,84,0,84.4,0
1,80.0,87,0,84.2,0
1,73.75,91,0,84.1,0
1,80.83,84,0,82.732,0
1,73.33,89,0,82.732,0
1,63.75,95,0,82.5,0
1,68.33,91,0,81.932,0
1,69.58,86,0,79.432,0
1,73.75,81,0,78.1,0
1,58.75,89,0,76.9,0
1,77.5,76,2,76.6,0
1,61.25,86,2,76.1,0
1,80.42,73,2,75.968,0
1,74.17,77,0,75.868,0
1,63.33,83,0,75.132,0
1,87.5,66,0,74.6,0
1,65.83,80,2,74.332,0
1,78.33,70,0,73.332,0
1,70.83,74,2,72.732,0
1,66.67,76,0,72.268,0
1,92.08,59,2,72.232,0
1,72.5,72,0,72.2,0
1,73.33,71,0,71.932,0
1,55.0,82,1,71.2,0
1,69.17,72,1,70.868,0
1,65.83,74,0,70.732,0
1,58.33,79,0,70.732,0
1,53.75,82,1,70.7,0
1,77.5,66,0,70.6,0
1,73.75,68,0,70.3,0
1,71.67,69,0,70.068,0
1,64.58,73,0,69.632,1
1,70.83,68,1,69.132,1
1,73.75,66,0,69.1,1
1,58.75,76,0,69.1,1
1,51.25,80,0,68.5,1
1,62.5,72,1,68.2,1
1,51.67,79,0,68.068,1
1,70.83,65,2,67.332,1
1,64.58,69,0,67.232,1
1,79.17,59,0,67.068,1
1,56.25,73,1,66.3,1
1,55.0,73,0,65.8,1
1,66.25,65,2,65.5,1
1,50.42,75,0,65.168,1
1,57.5,70,1,65.0,1
1,69.17,60,2,63.668,1
1,51.67,71,1,63.268,1
1,71.67,57,0,62.868,1
1,50.42,71,1,62.768,1
1,56.25,66,0,62.1,1
1,56.67,64,2,61.068,1
1,56.25,64,2,60.9,1
1,42.5,73,1,60.8,1
1,51.25,67,1,60.7,1
1,55.0,64,2,60.4,1
1,51.25,66,2,60.1,1
1,49.58,67,0,60.032,1
1,60.0,60,0,60.0,1
1,46.25,68,1,59.3,1
1,60.83,58,2,59.132,1
1,57.92,58,0,57.968,1
1,51.25,62,0,57.7,1
1,44.58,66,0,57.432,1
1,44.17,66,1,57.268,1
1,45.42,65,0,57.168,1
1,55.83,58,2,57.132,1
1,54.58,58,0,56.632,1
1,58.75,55,2,56.5,1
1,40.83,64,1,54.732,1
1,52.08,56,2,54.432,1
1,48.33,58,1,54.132,1
1,52.92,49,2,50.568,1
1,45.83,46,2,45.932,1
