parents,has_nurs,form,children,housing,finance,social,health,class
pretentious,critical,foster,more,critical,inconv,nonprob,not_recom,not_recommend
usual,very_crit,incomplete,3,critical,convenient,nonprob,recommended,recommend
great_pret,critical,incomplete,2,less_conv,convenient,problematic,not_recom,not_recommend
usual,improper,incomplete,1,less_conv,convenient,problematic,priority,recommend
great_pret,less_proper,foster,more,convenient,inconv,nonprob,priority,recommend
usual,very_crit,complete,1,less_conv,convenient,slightly_prob,priority,recommend
usual,critical,foster,1,convenient,inconv,problematic,priority,recommend
pretentious,very_crit,completed,2,critical,inconv,nonprob,recommended,recommend
usual,improper,incomplete,more,less_conv,inconv,problematic,recommended,recommend
pretentious,less_proper,incomplete,3,less_conv,convenient,problematic,priority,recommend
usual,less_proper,incomplete,2,less_conv,inconv,problematic,not_recom,not_recommend
great_pret,proper,foster,more,critical,convenient,nonprob,not_recom,not_recommend
pretentious,improper,foster,more,less_conv,inconv,nonprob,not_recom,not_recommend
usual,improper,foster,2,less_conv,convenient,slightly_prob,recommended,recommend
pretentious,very_crit,completed,2,convenient,convenient,slightly_prob,not_recom,not_recommend
great_pret,improper,foster,more,less_conv,inconv,slightly_prob,recommended,recommend
usual,proper,completed,3,convenient,convenient,slightly_prob,not_recom,not_recommend
usual,critical,complete,3,convenient,inconv,nonprob,priority,recommend
pretentious,improper,completed,1,convenient,inconv,problematic,recommended,recommend
usual,proper,incomplete,1,critical,convenient,slightly_prob,not_recom,not_recommend
usual,less_proper,completed,2,less_conv,convenient,problematic,recommended,recommend
usual,less_proper,completed,more,less_conv,inconv,problematic,recommended,recommend
pretentious,proper,completed,3,critical,inconv,nonprob,recommended,recommend
great_pret,proper,incomplete,more,critical,inconv,problematic,recommended,recommend
pretentious,improper,incomplete,2,convenient,inconv,problematic,priority,recommend
