position,oral,written,race,combine,promotion
Lieutenant,40.83,64,H,54.732,No promotion
Lieutenant,53.75,82,H,70.7,Promotion
Lieutenant,65.83,74,W,70.732,Promotion
Lieutenant,87.5,66,W,74.6,Promotion
Lieutenant,73.33,71,W,71.932,Promotion
Lieutenant,80.0,87,W,84.2,Promotion
Lieutenant,48.33,58,H,54.132,No promotion
Lieutenant,55.0,73,W,65.8,No promotion
Lieutenant,60.83,58,B,59.132,No promotion
Lieutenant,46.25,68,H,59.3,No promotion
Captain,62.38,75,W,69.952,No promotion
Captain,60.48,75,H,69.192,No promotion
Captain,87.62,69,W,76.448,Promotion
Lieutenant,66.67,76,W,72.268,Promotion
Lieutenant,71.67,69,W,70.068,Promotion
Captain,82.38,87,W,85.152,Promotion
Captain,76.19,84,W,80.876,Promotion
Lieutenant,51.25,62,W,57.7,No promotion
Lieutenant,58.75,55,B,56.5,No promotion
Captain,55.24,68,W,62.896,No promotion
Captain,67.62,56,B,60.648,No promotion
Captain,68.57,74,B,71.828,Promotion
Captain,82.38,64,W,71.352,Promotion
Lieutenant,51.67,79,W,68.068,No promotion
Captain,53.81,58,W,56.324,No promotion
